d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9996631145477295,4.405031682,
1.0,0.2,10.0,0.9988773465156555,4.599835669,
1.0,0.2,10.0,0.9990800619125366,5.403298502,
1.0,0.2,10.0,0.9988532066345215,5.417581224,
1.0,0.2,10.0,0.9985883235931396,5.527533543,
1.0,0.5,10.0,0.9994021058082581,4.384714069,
1.0,0.5,10.0,0.9986340999603271,8.532403543,
1.0,0.5,10.0,0.9989367127418518,4.366508064,
1.0,0.5,10.0,0.9992100596427917,5.856291593,
1.0,0.5,10.0,0.9934044480323792,9.937916086,
1.0,1.0,10.0,0.9991663098335266,9.719350697,
1.0,1.0,10.0,0.9998607635498047,13.645152154,
1.0,1.0,10.0,0.9993427991867065,13.893405291,
1.0,1.0,10.0,1.001650333404541,24.584946193,
1.0,1.0,10.0,1.0014699697494507,15.185549829,
2.0,0.2,10.0,0.9981881380081177,4.964430192,
2.0,0.2,10.0,0.9978159666061401,5.230047341,
2.0,0.2,10.0,0.9978572726249695,4.473851152,
2.0,0.2,10.0,1.00798761844635,8.627979072,
2.0,0.2,10.0,0.9975568652153015,4.472397237,
2.0,0.5,10.0,1.0033358335494995,23.127073563,
2.0,0.5,10.0,1.0022574663162231,15.967051961,
2.0,0.5,10.0,0.9990952610969543,5.232856726,
2.0,0.5,10.0,0.9973055124282837,9.083201,
2.0,0.5,10.0,0.9988034963607788,19.065971868,
2.0,1.0,10.0,0.9921239018440247,62.320108987,
2.0,1.0,10.0,0.9999251365661621,24.040586793,
2.0,1.0,10.0,0.9955111145973206,48.041546311,
2.0,1.0,10.0,0.9991224408149719,24.105844731,
2.0,1.0,10.0,0.998833179473877,24.416002531,
5.0,0.2,10.0,0.9965716004371643,4.795024165,
5.0,0.2,10.0,0.9967288374900818,5.10117711,
5.0,0.2,10.0,0.9989398121833801,5.766251718,
5.0,0.2,10.0,0.9974696040153503,6.164106921,
5.0,0.2,10.0,0.9998033046722412,7.93825007,
5.0,0.5,10.0,0.9958218932151794,43.656838922,
5.0,0.5,10.0,0.9965535402297974,22.356369681,
5.0,0.5,10.0,0.9847685694694519,50.282943795,
5.0,0.5,10.0,0.9964645504951477,44.379903521,
5.0,0.5,10.0,0.9795070886611938,44.87572074,
5.0,1.0,10.0,1.002347707748413,55.987101717,
5.0,1.0,10.0,0.9957436323165894,55.94796084,
5.0,1.0,10.0,0.9846193790435791,61.813622234,
5.0,1.0,10.0,0.9915468096733093,56.149439295,
5.0,1.0,10.0,0.993880033493042,61.016071243,
10.0,0.2,10.0,0.9957554340362549,12.335226296,
10.0,0.2,10.0,0.995144784450531,12.977293076,
10.0,0.2,10.0,0.9949885606765747,7.799180579,
10.0,0.2,10.0,0.9954255819320679,12.433678667,
10.0,0.2,10.0,0.9942993521690369,11.092639291,
10.0,0.5,10.0,1.0127965211868286,62.134413543,
10.0,0.5,10.0,0.9947255253791809,62.001099434,
10.0,0.5,10.0,0.9989402890205383,61.946352003,
10.0,0.5,10.0,0.9964734315872192,61.759942342,
10.0,0.5,10.0,0.9930077791213989,61.702166347,
10.0,1.0,10.0,0.9877915978431702,61.684996601,
10.0,1.0,10.0,0.9850665330886841,61.688102853,
10.0,1.0,10.0,0.9948040246963501,61.82704841,
10.0,1.0,10.0,0.9853227138519287,61.768940106,
10.0,1.0,10.0,0.9879796504974365,61.423953138,
