d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.1735035181045532,27.224296683,
1.0,0.2,10.0,1.1735575199127197,25.649911634,
1.0,0.2,10.0,1.173385500907898,24.144715066,
1.0,0.2,10.0,1.1736609935760498,24.010579743,
1.0,0.2,10.0,1.1634937524795532,23.097199371,
1.0,0.5,10.0,1.4672526121139526,44.617036924,
1.0,0.5,10.0,1.4694098234176636,25.269697283,
1.0,0.5,10.0,1.4708436727523804,23.121338081,
1.0,0.5,10.0,1.4696989059448242,25.185356234,
1.0,0.5,10.0,1.3706003427505493,25.60473594,
1.0,1.0,10.0,2.0388195514678955,46.419219215,
1.0,1.0,10.0,2.0450966358184814,107.697930037,
1.0,1.0,10.0,2.0399816036224365,112.990886951,
1.0,1.0,10.0,2.088301181793213,172.987426381,
1.0,1.0,10.0,2.0570905208587646,115.19521738,
2.0,0.2,10.0,1.2098671197891235,22.985659765,
2.0,0.2,10.0,1.2096848487854004,20.360308931,
2.0,0.2,10.0,1.2095261812210083,22.941596816,
2.0,0.2,10.0,1.2095506191253662,22.143183341,
2.0,0.2,10.0,1.209649920463562,23.209592939,
2.0,0.5,10.0,1.593084692955017,40.309633296,
2.0,0.5,10.0,1.595280408859253,57.956199878,
2.0,0.5,10.0,1.5947694778442383,133.457110982,
2.0,0.5,10.0,1.5947483777999878,60.036460562,
2.0,0.5,10.0,1.5946860313415527,96.793351503,
2.0,1.0,10.0,2.4990532398223877,178.417019952,
2.0,1.0,10.0,2.467487096786499,158.559739632,
2.0,1.0,10.0,2.4300618171691895,169.094368721,
2.0,1.0,10.0,2.4731228351593018,167.151789729,
2.0,1.0,10.0,2.425638437271118,164.30784331,
5.0,0.2,10.0,1.2159005403518677,38.276431778,
5.0,0.2,10.0,1.1706291437149048,21.627285014,
5.0,0.2,10.0,1.2219394445419312,21.350314649,
5.0,0.2,10.0,1.2166330814361572,22.174313199,
5.0,0.2,10.0,1.2159178256988525,21.420074751,
