d,T,K,u,time_simu
1.0,0.2,10.0,1.166494420152254,19.36561698
1.0,0.2,10.0,1.166589668335425,18.740738768
1.0,0.2,10.0,1.1671050924218995,18.659829134
1.0,0.2,10.0,1.1665461092112825,18.43648572
1.0,0.2,10.0,1.1666951613461223,18.600070045
1.0,0.5,10.0,1.456599769421983,18.689876299
1.0,0.5,10.0,1.4549957732417216,18.66470013
1.0,0.5,10.0,1.4585477225582333,18.381012552
1.0,0.5,10.0,1.450678283372403,18.366565933
1.0,0.5,10.0,1.456605921836937,18.428218503
1.0,1.0,10.0,2.0292585907979883,18.197251342
1.0,1.0,10.0,2.0347936433481344,18.685975367
1.0,1.0,10.0,2.019524122804434,18.380938644
1.0,1.0,10.0,2.028918462794692,18.441891146
1.0,1.0,10.0,2.037293005075929,18.445794405
2.0,0.2,10.0,1.2049278593871469,22.244657152
2.0,0.2,10.0,1.2023027750465949,22.116533861
2.0,0.2,10.0,1.2022361581119805,22.297640922
2.0,0.2,10.0,1.2018186685484316,22.491702261
2.0,0.2,10.0,1.201318646097577,21.766465096
2.0,0.5,10.0,1.5896138281309717,22.305280034
2.0,0.5,10.0,1.5769058590714127,21.666518413
2.0,0.5,10.0,1.5943382238798414,23.333759422
2.0,0.5,10.0,1.5885410759725591,22.358724061
2.0,0.5,10.0,1.5869906241150213,23.364918054
2.0,1.0,10.0,2.5185601453319375,23.159235994
2.0,1.0,10.0,2.462768057184153,21.941271344
2.0,1.0,10.0,2.4247348345505317,22.198521092
2.0,1.0,10.0,2.597459237642176,22.16713226
2.0,1.0,10.0,2.5081793671642982,22.763893496
5.0,0.2,10.0,1.2093739440977034,49.551963988
5.0,0.2,10.0,1.2083005217865839,49.477663255
5.0,0.2,10.0,1.208620519499964,50.632301044
5.0,0.2,10.0,1.2077765600668493,50.393791034
5.0,0.2,10.0,1.2085074062931889,50.39793897
5.0,0.5,10.0,1.6047681026946345,49.795651518
5.0,0.5,10.0,1.6148270679981656,50.300366469
5.0,0.5,10.0,1.6189463727633253,51.759843764
5.0,0.5,10.0,1.6115336546235093,49.574364062
5.0,0.5,10.0,1.6125503935379677,49.03631947
5.0,1.0,10.0,2.5993008870607506,50.568257638
5.0,1.0,10.0,2.6345656996687854,50.307666701
5.0,1.0,10.0,2.5821730871862734,48.941932551
5.0,1.0,10.0,2.6428442484603676,48.3250477
5.0,1.0,10.0,2.569187262673936,48.513117025
10.0,0.2,10.0,1.2048065081937114,66.903461858
10.0,0.2,10.0,1.2058053598086003,66.412603348
10.0,0.2,10.0,1.206280549331904,65.609042237
10.0,0.2,10.0,1.206239737361632,67.903899988
10.0,0.2,10.0,1.2051147631949537,67.505420688
10.0,0.5,10.0,1.588089615181047,68.467864459
10.0,0.5,10.0,1.6077529539812496,68.51210294
10.0,0.5,10.0,1.5868999198974327,67.981490153
10.0,0.5,10.0,1.5984076540177883,66.7313446
10.0,0.5,10.0,1.591940122732761,66.268599694
10.0,1.0,10.0,2.5914942655829947,66.054631662
10.0,1.0,10.0,2.6775750580228976,66.522199321
10.0,1.0,10.0,2.5569797096577234,67.564934004
10.0,1.0,10.0,2.614199787496484,65.738122326
10.0,1.0,10.0,2.5746605715072963,66.509742058
