d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.1484051942825317,106.555409456,
1.0,0.2,10.0,1.1447463035583496,98.430295171,
1.0,0.2,10.0,1.1469112634658813,89.782528132,
1.0,0.2,10.0,1.149092435836792,102.133845796,
1.0,0.2,10.0,1.1526769399642944,105.470314191,
1.0,0.5,10.0,1.3876169919967651,110.656371875,
1.0,0.5,10.0,1.3806254863739014,108.982329255,
1.0,0.5,10.0,1.3814624547958374,108.268133161,
1.0,0.5,10.0,1.3818265199661255,102.169790745,
1.0,0.5,10.0,1.3839296102523804,102.99287061,
1.0,1.0,10.0,1.7787652015686035,110.1827019,
1.0,1.0,10.0,1.7789523601531982,109.415923691,
1.0,1.0,10.0,1.7787801027297974,107.670079092,
1.0,1.0,10.0,1.778791069984436,103.343797899,
1.0,1.0,10.0,1.7785634994506836,73.152384267,
2.0,0.2,10.0,1.1740649938583374,66.736197089,
2.0,0.2,10.0,1.1725987195968628,97.382553653,
2.0,0.2,10.0,1.170247197151184,109.995079782,
2.0,0.2,10.0,1.165807843208313,110.356493294,
2.0,0.2,10.0,1.1887446641921997,111.040719913,
2.0,0.5,10.0,1.4496864080429077,111.187818231,
2.0,0.5,10.0,1.4497785568237305,111.362994341,
2.0,0.5,10.0,1.4436155557632446,110.716439686,
2.0,0.5,10.0,1.4506559371948242,101.992602166,
2.0,0.5,10.0,1.4493979215621948,102.536432589,
2.0,1.0,10.0,1.9235200881958008,118.951847514,
