d,T,K,u,time_simu
1.0,0.2,10.0,1.1421004269122201,19.52787718
1.0,0.2,10.0,1.1409445895477588,18.464024265
1.0,0.2,10.0,1.141099065395029,18.69242944
1.0,0.2,10.0,1.1415569524701163,18.672020009
1.0,0.2,10.0,1.141643608766733,18.173655437
1.0,0.5,10.0,1.3677753539621522,18.137994808
1.0,0.5,10.0,1.370431791852213,18.528423715
1.0,0.5,10.0,1.369597534293331,18.233050881
1.0,0.5,10.0,1.366886737594128,18.400961093
1.0,0.5,10.0,1.3668896778611974,18.158225688
1.0,1.0,10.0,1.743492308156648,18.696420196
1.0,1.0,10.0,1.7481241150471445,19.336516951
1.0,1.0,10.0,1.7462000687091428,20.132302593
1.0,1.0,10.0,1.7450259253116673,19.743425733
1.0,1.0,10.0,1.7484147045098253,18.888338112
2.0,0.2,10.0,1.1638566311301932,22.553885685
2.0,0.2,10.0,1.1643711532565584,21.989401017
2.0,0.2,10.0,1.1642664306108763,22.746612686
2.0,0.2,10.0,1.1638623341161822,22.03083379
2.0,0.2,10.0,1.1641051066756127,21.055256511
2.0,0.5,10.0,1.43343070073926,21.619797471
2.0,0.5,10.0,1.4336410846513732,21.983564525
2.0,0.5,10.0,1.4318457396594961,21.981087882
2.0,0.5,10.0,1.4346206594191173,21.927020918
2.0,0.5,10.0,1.4292968134227868,22.058014888
2.0,1.0,10.0,1.8791695052304265,22.661958804
