d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,2.2582859992980957,327.153488841,1.758206593371606
1.0,0.2,10.0,2.28273606300354,304.39651348,1.758206593371606
1.0,0.2,10.0,2.2950735092163086,317.067724734,1.758206593371606
1.0,0.2,10.0,2.273020029067993,296.204816637,1.758206593371606
1.0,0.2,10.0,2.3549587726593018,292.732486571,1.758206593371606
1.0,0.5,10.0,1.9853200912475586,289.721313637,1.722275707108827
1.0,0.5,10.0,2.9918317794799805,288.851208275,1.722275707108827
1.0,0.5,10.0,1.8812048435211182,286.598022181,1.722275707108827
1.0,0.5,10.0,2.679577350616455,284.930333603,1.722275707108827
1.0,0.5,10.0,4.070659160614014,283.967290556,1.722275707108827
1.0,1.0,10.0,8.035090446472168,281.871869595,1.66922524144644
1.0,1.0,10.0,3.350978136062622,281.994782109,1.66922524144644
1.0,1.0,10.0,8.758770942687988,280.524871237,1.66922524144644
1.0,1.0,10.0,4.7519354820251465,280.237816834,1.66922524144644
1.0,1.0,10.0,3.3400700092315674,279.118885563,1.66922524144644
2.0,0.2,10.0,722.40087890625,283.734153785,3.0912904249753876
2.0,0.2,10.0,4911.76806640625,282.610442254,3.0912904249753876
2.0,0.2,10.0,21373.98828125,280.852937938,3.0912904249753876
2.0,0.2,10.0,24.476253509521484,280.120219701,3.0912904249753876
2.0,0.2,10.0,38.409725189208984,279.256151333,3.0912904249753876
2.0,0.5,10.0,23.329004287719727,279.990760641,2.96623361129721
2.0,0.5,10.0,126.19029235839844,278.867297506,2.96623361129721
2.0,0.5,10.0,38.152950286865234,278.374951259,2.96623361129721
2.0,0.5,10.0,81.18074035644531,284.494583392,2.96623361129721
2.0,0.5,10.0,180.58670043945312,285.166683121,2.96623361129721
2.0,1.0,10.0,587077.25,281.314911862,2.7863129066819248
2.0,1.0,10.0,890316.3125,281.420904964,2.7863129066819248
2.0,1.0,10.0,717016.5625,284.09961191,2.7863129066819248
2.0,1.0,10.0,276106.0625,284.658238435,2.7863129066819248
2.0,1.0,10.0,1.322407625e6,281.343703442,2.7863129066819248
5.0,0.2,10.0,3.7674795e6,295.923387003,16.801556694196968
5.0,0.2,10.0,3.75623425e6,295.707662676,16.801556694196968
5.0,0.2,10.0,3.76300225e6,295.250269929,16.801556694196968
5.0,0.2,10.0,3.5870015e6,296.054165181,16.801556694196968
5.0,0.2,10.0,3.74190875e6,292.705885418,16.801556694196968
5.0,0.5,10.0,3.215349e6,293.300944028,15.153514863482872
5.0,0.5,10.0,3.15578e6,296.032105946,15.153514863482872
5.0,0.5,10.0,3.12447875e6,291.652436299,15.153514863482872
5.0,0.5,10.0,3.27704175e6,292.222322201,15.153514863482872
5.0,0.5,10.0,3.14892825e6,288.593230767,15.153514863482872
5.0,1.0,10.0,3.66104025e6,291.774280358,12.959096286561797
5.0,1.0,10.0,3.32706825e6,289.048896895,12.959096286561797
5.0,1.0,10.0,3.5886085e6,289.161083834,12.959096286561797
5.0,1.0,10.0,3.63613825e6,286.656135218,12.959096286561797
5.0,1.0,10.0,3.57126725e6,287.41965281,12.959096286561797
10.0,0.2,10.0,1.88104875e6,312.435939914,282.29230734831486
10.0,0.2,10.0,1.880358e6,316.236947312,282.29230734831486
10.0,0.2,10.0,1.8799305e6,316.546744251,282.29230734831486
10.0,0.2,10.0,1.881001875e6,307.237152456,282.29230734831486
10.0,0.2,10.0,1.880815e6,308.523714332,282.29230734831486
10.0,0.5,10.0,1.886986125e6,304.067877688,229.62901271779626
10.0,0.5,10.0,1.886528125e6,302.565527944,229.62901271779626
10.0,0.5,10.0,1.886413375e6,299.102020767,229.62901271779626
10.0,0.5,10.0,1.887061e6,294.892752316,229.62901271779626
10.0,0.5,10.0,1.885815875e6,294.871048916,229.62901271779626
10.0,1.0,10.0,1.25794e6,291.475499547,167.93817656437977
10.0,1.0,10.0,1.258383e6,293.290710684,167.93817656437977
10.0,1.0,10.0,1.25894975e6,290.855404262,167.93817656437977
10.0,1.0,10.0,1.257870375e6,291.216157915,167.93817656437977
10.0,1.0,10.0,1.25783375e6,289.21759214,167.93817656437977
