d,T,K,u,time_simu
1.0,0.2,10.0,1.7549238348789857,185.075958452
1.0,0.2,10.0,1.756747123401568,178.040905784
1.0,0.2,10.0,1.7571393062194942,160.960137484
1.0,0.2,10.0,1.757376614165169,181.699501135
1.0,0.2,10.0,1.756852304146607,182.763798067
1.0,0.5,10.0,1.7180888019108362,181.880388652
1.0,0.5,10.0,1.7145802857551804,173.090947928
1.0,0.5,10.0,1.7176933665183087,156.153521406
1.0,0.5,10.0,1.7198014343304404,184.548816579
1.0,0.5,10.0,1.7184385873407486,182.09884827
1.0,1.0,10.0,1.6625239259283953,182.077844798
1.0,1.0,10.0,1.661659275309943,160.097308331
1.0,1.0,10.0,1.6625368563276557,182.518612597
1.0,1.0,10.0,1.6655898713488364,150.445886003
1.0,1.0,10.0,1.6633182748943076,160.859222857
2.0,0.2,10.0,3.083035938717519,213.681422384
2.0,0.2,10.0,3.0823227085827885,222.324652103
2.0,0.2,10.0,3.0843254317127244,195.812521292
2.0,0.2,10.0,3.0845987443845733,222.777627218
2.0,0.2,10.0,3.0827140942907447,194.765335568
2.0,0.5,10.0,2.953480640310912,220.466823984
2.0,0.5,10.0,2.94400733462231,222.955830392
2.0,0.5,10.0,2.939881997160912,201.140945766
2.0,0.5,10.0,2.9482729051338117,222.079114879
2.0,0.5,10.0,2.951732469064069,202.197741292
2.0,1.0,10.0,2.751325133270031,200.288578219
2.0,1.0,10.0,2.7431629796961867,200.796397632
2.0,1.0,10.0,2.748932019015276,199.759454953
2.0,1.0,10.0,2.7449633753736578,218.377125931
2.0,1.0,10.0,2.7555612137748704,197.438163156
5.0,0.2,10.0,16.685566681175366,266.792465516
5.0,0.2,10.0,16.669967695907435,244.742921708
5.0,0.2,10.0,16.700566214901617,255.153317988
5.0,0.2,10.0,16.69589566503906,255.636746819
5.0,0.2,10.0,16.670221854223207,254.921838364
5.0,0.5,10.0,14.908252963943696,254.989189991
5.0,0.5,10.0,14.82401046139658,268.430377072
5.0,0.5,10.0,14.851445339861504,254.990247055
5.0,0.5,10.0,14.910431200083606,268.73029283
5.0,0.5,10.0,14.938868825592257,254.086292876
5.0,1.0,10.0,12.415312633109876,258.569329392
5.0,1.0,10.0,12.524735706490821,270.653554391
5.0,1.0,10.0,12.382609885781319,259.760182748
5.0,1.0,10.0,12.430844268968588,271.203926972
5.0,1.0,10.0,12.38271019522778,270.92141448
10.0,0.2,10.0,277.1081236287542,386.045982542
10.0,0.2,10.0,277.54640467167263,393.074890537
10.0,0.2,10.0,277.37870602191225,402.939696249
10.0,0.2,10.0,277.20918140387664,409.085482132
10.0,0.2,10.0,277.2045948640815,406.358265297
10.0,0.5,10.0,218.93262459243383,379.804359257
10.0,0.5,10.0,220.64892698827694,391.214851365
10.0,0.5,10.0,218.67231092795203,400.2125952
10.0,0.5,10.0,220.67161377783265,370.375411473
10.0,0.5,10.0,220.18981210412738,405.329615229
10.0,1.0,10.0,149.8761053428359,401.698388892
10.0,1.0,10.0,150.9190336940486,399.335766227
10.0,1.0,10.0,150.70246903870697,405.508763415
10.0,1.0,10.0,153.3309146219683,398.296960783
10.0,1.0,10.0,150.16304669993474,402.48935532
