d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9958993792533875,46.022493731,
1.0,0.2,10.0,0.9936004281044006,42.58914262,
1.0,0.2,10.0,0.9944378137588501,43.552831382,
1.0,0.2,10.0,0.9931191802024841,43.394323952,
1.0,0.2,10.0,0.9922528862953186,42.757617591,
1.0,0.5,10.0,0.9898062944412231,42.691330667,
1.0,0.5,10.0,0.9894782304763794,41.983306828,
1.0,0.5,10.0,0.9871216416358948,42.218143612,
1.0,0.5,10.0,0.9880681037902832,40.458777082,
1.0,0.5,10.0,0.987442672252655,39.926327799,
1.0,1.0,10.0,0.9819526076316833,41.129374341,
1.0,1.0,10.0,0.9826787710189819,39.727120306,
1.0,1.0,10.0,0.982089102268219,40.800545663,
1.0,1.0,10.0,0.9824413657188416,39.833693925,
1.0,1.0,10.0,0.982770562171936,38.860347335,
2.0,0.2,10.0,0.9990330934524536,42.301856548,
2.0,0.2,10.0,0.9926785230636597,42.244446907,
2.0,0.2,10.0,0.9916616678237915,42.156010917,
2.0,0.2,10.0,0.9873529076576233,41.862958705,
2.0,0.2,10.0,0.9964036345481873,43.658917549,
2.0,0.5,10.0,0.9779593348503113,42.632914868,
2.0,0.5,10.0,0.9738714694976807,42.691594655,
2.0,0.5,10.0,0.9766337871551514,43.806431233,
2.0,0.5,10.0,0.9746918678283691,41.90189294,
2.0,0.5,10.0,0.9741297364234924,42.081271523,
2.0,1.0,10.0,0.9665372967720032,42.447793176,
2.0,1.0,10.0,0.965327262878418,42.15011999,
2.0,1.0,10.0,0.9660916328430176,42.98510776,
2.0,1.0,10.0,0.9659386873245239,41.267788413,
2.0,1.0,10.0,0.9665356278419495,40.922100644,
5.0,0.2,10.0,0.9850661754608154,44.664579118,
5.0,0.2,10.0,0.9936069846153259,42.899669624,
5.0,0.2,10.0,0.9905232787132263,42.97052296,
5.0,0.2,10.0,0.9840227961540222,42.801660482,
5.0,0.2,10.0,0.9953789710998535,42.51447138,
5.0,0.5,10.0,0.9434379935264587,45.473655877,
5.0,0.5,10.0,0.9550386667251587,44.990925294,
5.0,0.5,10.0,0.9502569437026978,44.900158413,
5.0,0.5,10.0,0.9462693929672241,44.842530794,
5.0,0.5,10.0,0.945193886756897,44.456633461,
5.0,1.0,10.0,0.9218804836273193,44.947109617,
5.0,1.0,10.0,0.9232082366943359,44.620003741,
5.0,1.0,10.0,0.9224673509597778,44.509491159,
5.0,1.0,10.0,0.9226760864257812,44.104031967,
5.0,1.0,10.0,0.9225201606750488,44.00531948,
10.0,0.2,10.0,0.9802170991897583,47.738477614,
10.0,0.2,10.0,0.9821863174438477,48.433795464,
10.0,0.2,10.0,0.9470721483230591,47.368462315,
10.0,0.2,10.0,0.9962142109870911,45.830616874,
10.0,0.2,10.0,0.97225022315979,45.364616211,
10.0,0.5,10.0,0.9213206171989441,48.346002878,
10.0,0.5,10.0,0.9148247241973877,47.522541106,
10.0,0.5,10.0,0.9265415072441101,47.499372869,
10.0,0.5,10.0,0.9244255423545837,47.066064898,
10.0,0.5,10.0,0.9258658289909363,46.738204279,
10.0,1.0,10.0,0.8710688352584839,48.500180424,
10.0,1.0,10.0,0.8687540292739868,48.842560754,
10.0,1.0,10.0,0.8715482354164124,48.893539628,
10.0,1.0,10.0,0.8662224411964417,48.93156717,
10.0,1.0,10.0,0.8743957281112671,49.302279928,
