d,T,K,u,time_simu
1.0,0.2,10.0,0.9995722993444632,0.464095959
1.0,0.2,10.0,0.9995930692624109,0.018442102
1.0,0.2,10.0,0.999605718340071,0.016668108
1.0,0.2,10.0,0.9995923319945867,0.016922917
1.0,0.2,10.0,0.9995771374421664,0.016723777
1.0,0.5,10.0,0.9992971355272168,0.016276589
1.0,0.5,10.0,0.9993357604753368,0.016310599
1.0,0.5,10.0,0.9994094263419708,0.015475982
1.0,0.5,10.0,0.9992902725817935,0.016361299
1.0,0.5,10.0,0.9991880985292126,0.014791314
1.0,1.0,10.0,0.9994264446368913,0.016389039
1.0,1.0,10.0,0.9989871148516556,0.210090286
1.0,1.0,10.0,0.9986269885311303,0.015425772
1.0,1.0,10.0,0.9991124675314345,0.017088637
1.0,1.0,10.0,0.9986867692138939,0.015259943
2.0,0.2,10.0,0.9991528394632088,0.016191319
2.0,0.2,10.0,0.9991515793727752,0.016741258
2.0,0.2,10.0,0.9991800997765073,0.015334662
2.0,0.2,10.0,0.9991803751302145,0.017809995
2.0,0.2,10.0,0.9991541030810385,0.015804651
2.0,0.5,10.0,0.9984955413137413,0.014870994
2.0,0.5,10.0,0.9981079428911037,0.017488466
2.0,0.5,10.0,0.9986570015393774,0.017635055
2.0,0.5,10.0,0.9985785536009768,0.015166963
2.0,0.5,10.0,0.9984606152478759,0.017730164
2.0,1.0,10.0,0.9983443830814432,0.015955231
2.0,1.0,10.0,0.9988216819520611,0.017232407
2.0,1.0,10.0,0.9982833248431254,0.018731663
2.0,1.0,10.0,0.9980091216895666,0.017513006
2.0,1.0,10.0,0.9979962949000974,0.017514246
5.0,0.2,10.0,0.99794754437738,0.018591532
5.0,0.2,10.0,0.9979799375668176,0.021793913
5.0,0.2,10.0,0.9979164091713331,0.017439924
5.0,0.2,10.0,0.9979751242532457,0.019826297
5.0,0.2,10.0,0.9979434627113082,0.017175524
5.0,0.5,10.0,0.9963113253513167,0.017853672
5.0,0.5,10.0,0.9962147884049339,0.017201993
5.0,0.5,10.0,0.9963487208916109,0.016994793
5.0,0.5,10.0,0.9961240012327309,0.01826262
5.0,0.5,10.0,0.9958494995861051,0.017547701
5.0,1.0,10.0,0.9962023626902073,0.017356182
5.0,1.0,10.0,0.9971220205779927,0.017033343
5.0,1.0,10.0,0.9956863241291358,0.01781532
5.0,1.0,10.0,0.9961495264540253,0.017309391
5.0,1.0,10.0,0.9938393927135724,0.019455445
10.0,0.2,10.0,0.9959113647956612,0.025853396
10.0,0.2,10.0,0.9958851362960486,0.021669328
10.0,0.2,10.0,0.9959422770137802,0.019046346
10.0,0.2,10.0,0.9958333454192883,0.021061699
10.0,0.2,10.0,0.9959019875161114,0.021437578
10.0,0.5,10.0,0.9923346151526328,0.022238325
10.0,0.5,10.0,0.9922716692049456,0.022902623
10.0,0.5,10.0,0.9923066456491013,0.020156661
10.0,0.5,10.0,0.9926402837119511,0.020861539
10.0,0.5,10.0,0.9928322696027962,0.022304535
10.0,1.0,10.0,0.9891378790791828,0.021645707
10.0,1.0,10.0,0.9903401731588373,0.021809266
10.0,1.0,10.0,0.989369387524212,0.022176796
10.0,1.0,10.0,0.9870900816542795,0.021756826
10.0,1.0,10.0,0.9905650931531461,0.022468714
