d,T,K,u,time_simu
1.0,0.1,10.0,1.7705390496718354,183.797301772
1.0,0.1,10.0,1.7704936273264658,181.522010609
1.0,0.1,10.0,1.7700857377475412,186.485554119
1.0,0.1,10.0,1.7703256684406428,184.505749167
1.0,0.1,10.0,1.7708149471969095,186.138600306
2.0,0.1,10.0,3.1323065411687567,232.748002828
2.0,0.1,10.0,3.1314512286314544,227.749834363
2.0,0.1,10.0,3.134092456256691,232.091843881
2.0,0.1,10.0,3.131775774874635,216.565117889
2.0,0.1,10.0,3.133190710319636,229.8904882
5.0,0.1,10.0,17.375895767132167,264.76523187
5.0,0.1,10.0,17.366898547590605,267.302613024
5.0,0.1,10.0,17.37287528058482,260.826565246
5.0,0.1,10.0,17.358746051247977,265.29184635
5.0,0.1,10.0,17.35754606830554,270.64329641
10.0,0.1,10.0,300.75123288376545,410.681935652
10.0,0.1,10.0,300.32113429019233,410.036683144
10.0,0.1,10.0,300.29106551496494,402.38145815
10.0,0.1,10.0,300.69990607154466,411.842404087
10.0,0.1,10.0,300.3004426889166,405.464098941
1.0,0.2,10.0,1.7566723770487493,195.489157505
1.0,0.2,10.0,1.7561136017054648,178.946678008
1.0,0.2,10.0,1.7588215196084502,178.892593432
1.0,0.2,10.0,1.755356445549511,192.181294238
1.0,0.2,10.0,1.7556332008151876,180.355587319
2.0,0.2,10.0,3.0863507259650818,216.856922144
2.0,0.2,10.0,3.085024550357648,218.328745215
2.0,0.2,10.0,3.084384901571533,224.726107492
2.0,0.2,10.0,3.0872323826126014,227.48219003
2.0,0.2,10.0,3.0815632167862197,213.060768127
5.0,0.2,10.0,16.676554808147902,265.658971652
5.0,0.2,10.0,16.696388702752305,255.792274316
5.0,0.2,10.0,16.689667188404055,270.382917342
5.0,0.2,10.0,16.693479854606448,265.998153186
5.0,0.2,10.0,16.669535119683367,274.928413505
10.0,0.2,10.0,277.53503895579513,408.941931497
10.0,0.2,10.0,277.3044207272209,368.974393317
10.0,0.2,10.0,277.3892429075981,396.596884955
10.0,0.2,10.0,276.5156419821664,390.356024336
10.0,0.2,10.0,277.60872051148186,400.636215283
1.0,0.5,10.0,1.7158694535719496,180.972398607
1.0,0.5,10.0,1.7202612383972133,179.778411417
1.0,0.5,10.0,1.720576020655325,181.536126845
1.0,0.5,10.0,1.7184885061251238,181.999858116
1.0,0.5,10.0,1.7192858453765225,181.759292813
2.0,0.5,10.0,2.9502678878137707,225.269198267
2.0,0.5,10.0,2.946526789157275,229.372475484
2.0,0.5,10.0,2.953284867825444,224.770492103
2.0,0.5,10.0,2.9475584951384737,219.686683022
2.0,0.5,10.0,2.944564335168062,220.033598054
5.0,0.5,10.0,14.884973891122447,260.238888739
5.0,0.5,10.0,14.895264737992116,261.734622882
5.0,0.5,10.0,14.885943146817183,268.300747012
5.0,0.5,10.0,14.863795962930968,256.148654889
5.0,0.5,10.0,14.896200400359579,268.045921154
10.0,0.5,10.0,218.36384115116033,399.774000511
10.0,0.5,10.0,216.57187442782606,391.473340951
10.0,0.5,10.0,218.46333095540143,393.283721361
10.0,0.5,10.0,218.51264831737322,396.410626418
10.0,0.5,10.0,216.94760521042454,392.544278665
1.0,0.1,10.0,1.770015202183411,181.263910283
1.0,0.1,10.0,1.7702434559377254,180.338814253
1.0,0.1,10.0,1.7703673227633063,178.822928507
1.0,0.1,10.0,1.7708832302255522,177.613595833
1.0,0.1,10.0,1.7695954511642875,179.163782173
2.0,0.1,10.0,3.133830720761756,211.945500965
2.0,0.1,10.0,3.1329482118907923,217.744382728
2.0,0.1,10.0,3.135969068595927,211.00106279
2.0,0.1,10.0,3.133907781336793,217.583561732
2.0,0.1,10.0,3.1325196049472046,217.525572088
5.0,0.1,10.0,17.37428580637917,263.637969552
5.0,0.1,10.0,17.372637364047016,257.593020849
5.0,0.1,10.0,17.37829790040156,271.08760875
5.0,0.1,10.0,17.365570975844253,262.574492365
5.0,0.1,10.0,17.35105299370641,261.921192962
10.0,0.1,10.0,301.3418180947724,373.32509111
10.0,0.1,10.0,301.23003734139854,372.78973196
10.0,0.1,10.0,300.720699440692,394.700660188
10.0,0.1,10.0,300.85470250339915,374.212187447
10.0,0.1,10.0,300.6754791306612,389.031553546
1.0,0.2,10.0,1.7564237208515059,180.918892119
1.0,0.2,10.0,1.7576562568921708,175.981047423
1.0,0.2,10.0,1.7550448191266674,194.067745214
1.0,0.2,10.0,1.755375660296314,180.1902319
1.0,0.2,10.0,1.7563101471612679,195.211925144
2.0,0.2,10.0,3.084062497420718,238.478094163
2.0,0.2,10.0,3.0858181471449533,239.481067875
2.0,0.2,10.0,3.0862582600098474,227.212613974
2.0,0.2,10.0,3.085692174813329,241.87279635
2.0,0.2,10.0,3.0850552543271497,237.551827575
5.0,0.2,10.0,16.701465237519816,282.249541338
5.0,0.2,10.0,16.674434165917997,283.135880373
5.0,0.2,10.0,16.718023559978224,283.602389018
5.0,0.2,10.0,16.678278865186194,281.609886115
5.0,0.2,10.0,16.689265495240203,281.978967585
10.0,0.2,10.0,277.05677660089924,421.423523853
10.0,0.2,10.0,276.9379718477003,422.162296671
10.0,0.2,10.0,276.8253571295974,421.735175892
10.0,0.2,10.0,277.70312014372837,420.07581176
10.0,0.2,10.0,277.01141715746263,421.408502107
1.0,0.5,10.0,1.7153824644652593,191.927004825
1.0,0.5,10.0,1.7174270526802706,194.162781409
1.0,0.5,10.0,1.7180401350596,190.748975375
1.0,0.5,10.0,1.7162225227691579,191.666039176
1.0,0.5,10.0,1.7210633591697353,191.88617219
2.0,0.5,10.0,2.949126588900799,237.09633877
2.0,0.5,10.0,2.9514499619380046,237.551616266
2.0,0.5,10.0,2.9390021015994736,228.223317238
2.0,0.5,10.0,2.9527133145811564,238.417808323
2.0,0.5,10.0,2.949847573509556,236.033781936
5.0,0.5,10.0,14.867179521665252,278.151998417
5.0,0.5,10.0,14.975637117209615,279.798411146
5.0,0.5,10.0,14.89280635182256,279.757330026
5.0,0.5,10.0,14.862710695784079,277.685926334
5.0,0.5,10.0,14.895426207992996,278.833787408
10.0,0.5,10.0,220.2003353804887,430.352866226
10.0,0.5,10.0,218.16629346549982,424.885780855
