d,T,K,u,time_simu
1.0,0.2,10.0,0.9932723743087277,130.028284488
1.0,0.2,10.0,0.9934607184761807,131.075227295
1.0,0.2,10.0,0.9929938463186851,128.86105506
1.0,0.2,10.0,0.9933218494621936,131.209567092
1.0,0.2,10.0,0.9933944394344777,127.122613485
2.0,0.2,10.0,0.9870130428443502,155.824153681
2.0,0.2,10.0,0.9871317942297201,152.764589796
2.0,0.2,10.0,0.9868422594637144,157.653588293
2.0,0.2,10.0,0.9869257304693809,153.908940665
2.0,0.2,10.0,0.9869412438952931,153.697301564
5.0,0.2,10.0,0.9705793946939613,181.508064408
5.0,0.2,10.0,0.9708707871100021,182.598663417
5.0,0.2,10.0,0.9703498913211086,178.200066429
5.0,0.2,10.0,0.9710011282027922,179.374880564
5.0,0.2,10.0,0.9713273988658755,178.114301876
10.0,0.2,10.0,0.9514090950028954,272.44954485
10.0,0.2,10.0,0.9525658341781356,267.620235397
10.0,0.2,10.0,0.9514918829122898,271.374163153
10.0,0.2,10.0,0.951503621269246,279.034721466
10.0,0.2,10.0,0.9517711572179129,268.752051129
1.0,0.5,10.0,0.987314368411556,129.51055216
1.0,0.5,10.0,0.9877770143424665,131.550920734
1.0,0.5,10.0,0.9874823680047896,128.457241445
1.0,0.5,10.0,0.9862529451257809,129.933468351
1.0,0.5,10.0,0.9862682381083946,125.2875556
2.0,0.5,10.0,0.9752463376728882,154.03057757
2.0,0.5,10.0,0.978413775132254,151.85663058
2.0,0.5,10.0,0.975221590686706,146.260589982
2.0,0.5,10.0,0.9752536625388275,151.890725403
2.0,0.5,10.0,0.9767382978593405,150.597184916
5.0,0.5,10.0,0.9406994402816342,176.809241453
5.0,0.5,10.0,0.9428668782765148,179.547170843
5.0,0.5,10.0,0.9440768114070627,179.599189176
5.0,0.5,10.0,0.9381216004280702,183.715866997
5.0,0.5,10.0,0.9447533439126895,168.973087694
10.0,0.5,10.0,0.9013359181709705,268.792018746
10.0,0.5,10.0,0.897344209986255,264.840866991
10.0,0.5,10.0,0.9116180861136101,269.476375476
10.0,0.5,10.0,0.9055780055088088,267.997408571
10.0,0.5,10.0,0.8979905024595962,258.544855963
