d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.1204233169555664,30.47887958,
1.0,0.2,10.0,1.1204291582107544,30.477901856,
1.0,0.2,10.0,1.1204369068145752,31.018599036,
1.0,0.2,10.0,1.120421290397644,30.890851515,
1.0,0.2,10.0,1.1204317808151245,30.921756322,
2.0,0.2,10.0,1.1678484678268433,32.003060894,
2.0,0.2,10.0,1.1678582429885864,31.230133362,
2.0,0.2,10.0,1.1678436994552612,31.12008381,
2.0,0.2,10.0,1.1678409576416016,30.550497511,
2.0,0.2,10.0,1.1678438186645508,29.865842886,
5.0,0.2,10.0,1.173205852508545,30.327484722,
5.0,0.2,10.0,1.173220157623291,28.705844508,
5.0,0.2,10.0,1.1732181310653687,29.461724232,
5.0,0.2,10.0,1.1731979846954346,29.88092599,
5.0,0.2,10.0,1.1731928586959839,29.173562211,
10.0,0.2,10.0,1.1704912185668945,30.906762943,
10.0,0.2,10.0,1.1704996824264526,29.531312457,
10.0,0.2,10.0,1.1705104112625122,29.599936626,
10.0,0.2,10.0,1.170491337776184,31.640514717,
10.0,0.2,10.0,1.1704891920089722,29.54980747,
1.0,0.5,10.0,1.3081501722335815,27.634150339,
1.0,0.5,10.0,1.3081302642822266,25.632804903,
1.0,0.5,10.0,1.3081471920013428,26.081090944,
1.0,0.5,10.0,1.3080936670303345,27.015253957,
1.0,0.5,10.0,1.3080998659133911,25.741525893,
2.0,0.5,10.0,1.4393043518066406,26.488933202,
2.0,0.5,10.0,1.4394463300704956,26.549381424,
2.0,0.5,10.0,1.439413070678711,27.871420593,
2.0,0.5,10.0,1.4393378496170044,25.978064153,
2.0,0.5,10.0,1.4393202066421509,26.737926439,
5.0,0.5,10.0,1.4546513557434082,31.55867242,
5.0,0.5,10.0,1.4547080993652344,25.434684446,
5.0,0.5,10.0,1.4547295570373535,25.410242891,
5.0,0.5,10.0,1.4546796083450317,26.600433592,
5.0,0.5,10.0,1.4546561241149902,24.796045214,
10.0,0.5,10.0,1.447274923324585,27.144351129,
10.0,0.5,10.0,1.4473696947097778,27.607229232,
