d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9995765089988708,24.642766683,
1.0,0.2,10.0,0.999588668346405,24.647643263,
1.0,0.2,10.0,0.9995952248573303,24.514143597,
1.0,0.2,10.0,0.9995856881141663,25.198714179,
1.0,0.2,10.0,0.999605119228363,25.433968155,
2.0,0.2,10.0,0.9992033839225769,26.290582864,
2.0,0.2,10.0,0.9991511702537537,25.746130463,
2.0,0.2,10.0,0.9991793036460876,25.88188776,
2.0,0.2,10.0,0.9991673827171326,26.089596184,
2.0,0.2,10.0,0.9991783499717712,26.868457561,
5.0,0.2,10.0,0.9979425668716431,26.781070617,
5.0,0.2,10.0,0.9979754090309143,26.934902863,
5.0,0.2,10.0,0.9979038238525391,27.321192851,
5.0,0.2,10.0,0.9979556798934937,27.308848384,
5.0,0.2,10.0,0.9980085492134094,28.216610428,
10.0,0.2,10.0,0.9959476590156555,29.759147882,
10.0,0.2,10.0,0.9958803057670593,28.385039478,
10.0,0.2,10.0,0.9958946108818054,29.207031917,
10.0,0.2,10.0,0.9959600567817688,28.468710299,
10.0,0.2,10.0,0.9959293603897095,29.042381933,
1.0,0.5,10.0,0.9992502927780151,26.761360841,
1.0,0.5,10.0,0.9992451667785645,26.630732158,
1.0,0.5,10.0,0.9992707967758179,26.565539893,
1.0,0.5,10.0,0.9991897940635681,26.64281491,
1.0,0.5,10.0,0.9992754459381104,26.558628979,
2.0,0.5,10.0,0.998498260974884,26.873209666,
2.0,0.5,10.0,0.9984527826309204,26.929168977,
2.0,0.5,10.0,0.9984945058822632,27.592479245,
2.0,0.5,10.0,0.9985249638557434,26.800044856,
2.0,0.5,10.0,0.99852055311203,26.840920386,
5.0,0.5,10.0,0.9962030053138733,27.464852875,
5.0,0.5,10.0,0.9961960911750793,27.707209714,
5.0,0.5,10.0,0.9962573647499084,27.641710356,
5.0,0.5,10.0,0.9962599873542786,27.66457377,
5.0,0.5,10.0,0.9961970448493958,27.681935875,
10.0,0.5,10.0,0.9924286007881165,29.286355686,
10.0,0.5,10.0,0.9926435947418213,28.157466193,
10.0,0.5,10.0,0.99233478307724,29.02212893,
10.0,0.5,10.0,0.9924759864807129,28.336326843,
10.0,0.5,10.0,0.9927455186843872,28.916778601,
1.0,1.0,10.0,0.9991303086280823,26.642744714,
1.0,1.0,10.0,0.9991983771324158,26.633368033,
1.0,1.0,10.0,0.9991431832313538,26.63173035,
1.0,1.0,10.0,0.9991129040718079,26.550941191,
1.0,1.0,10.0,0.9991268515586853,26.547054176,
2.0,1.0,10.0,0.9981845617294312,26.784116837,
2.0,1.0,10.0,0.9981268048286438,26.922544424,
2.0,1.0,10.0,0.9982943534851074,26.877185065,
2.0,1.0,10.0,0.998254120349884,27.460931195,
2.0,1.0,10.0,0.9983144998550415,26.780845554,
5.0,1.0,10.0,0.9955989718437195,27.426561853,
5.0,1.0,10.0,0.9955720901489258,27.413451076,
5.0,1.0,10.0,0.9956017136573792,27.47460477,
5.0,1.0,10.0,0.9957206845283508,27.40648861,
5.0,1.0,10.0,0.9957645535469055,27.421504927,
10.0,1.0,10.0,0.9914078116416931,28.348216316,
10.0,1.0,10.0,0.9912232756614685,28.668830312,
10.0,1.0,10.0,0.9911426901817322,28.847201199,
10.0,1.0,10.0,0.9911481142044067,28.073430922,
10.0,1.0,10.0,0.9912266731262207,28.670822682,
1.0,0.2,10.0,0.9995797276496887,26.948247595,
1.0,0.2,10.0,0.9996041655540466,26.196849149,
1.0,0.2,10.0,0.999601423740387,26.35631532,
1.0,0.2,10.0,0.9996082186698914,26.33535117,
1.0,0.2,10.0,0.9995773434638977,25.641735007,
2.0,0.2,10.0,0.9991628527641296,26.86065583,
2.0,0.2,10.0,0.9991914629936218,26.890952699,
2.0,0.2,10.0,0.9991489052772522,26.899669117,
2.0,0.2,10.0,0.9991866946220398,26.135530223,
2.0,0.2,10.0,0.9992068409919739,26.855293554,
5.0,0.2,10.0,0.9979363679885864,27.316114773,
5.0,0.2,10.0,0.9979915022850037,27.309552315,
5.0,0.2,10.0,0.9979996085166931,27.279613758,
5.0,0.2,10.0,0.9979903101921082,27.30138285,
5.0,0.2,10.0,0.9979405403137207,27.267566541,
10.0,0.2,10.0,0.9959758520126343,28.072233945,
10.0,0.2,10.0,0.9959278106689453,28.863631867,
10.0,0.2,10.0,0.9959014058113098,28.079987615,
10.0,0.2,10.0,0.995851993560791,28.906447309,
10.0,0.2,10.0,0.9960271120071411,28.074729792,
1.0,0.5,10.0,0.9992618560791016,26.382646538,
1.0,0.5,10.0,0.9992324113845825,25.630146256,
1.0,0.5,10.0,0.9992186427116394,26.339581483,
1.0,0.5,10.0,0.9992357492446899,25.546619608,
1.0,0.5,10.0,0.9992275834083557,26.297286388,
2.0,0.5,10.0,0.9985135197639465,26.113938497,
2.0,0.5,10.0,0.9985847473144531,26.847039838,
2.0,0.5,10.0,0.9984698295593262,26.105266609,
2.0,0.5,10.0,0.9984527826309204,26.820877725,
2.0,0.5,10.0,0.998512327671051,26.119774765,
5.0,0.5,10.0,0.9962801933288574,27.271986592,
5.0,0.5,10.0,0.9963733553886414,27.211281977,
5.0,0.5,10.0,0.9963168501853943,27.181795954,
5.0,0.5,10.0,0.9963036179542542,26.511435266,
5.0,0.5,10.0,0.9962756633758545,27.258319757,
10.0,0.5,10.0,0.9924898743629456,27.976256124,
10.0,0.5,10.0,0.9925440549850464,28.708400925,
10.0,0.5,10.0,0.9927027225494385,27.969486179,
10.0,0.5,10.0,0.9925854802131653,28.678040985,
10.0,0.5,10.0,0.9925394058227539,27.887989277,
1.0,1.0,10.0,0.9991021752357483,25.624139202,
1.0,1.0,10.0,0.9991959929466248,26.263822451,
1.0,1.0,10.0,0.9992161393165588,25.477993788,
1.0,1.0,10.0,0.9990863800048828,25.503960748,
1.0,1.0,10.0,0.9990861415863037,26.238762512,
2.0,1.0,10.0,0.998218834400177,25.990338461,
2.0,1.0,10.0,0.9982922077178955,26.063025892,
2.0,1.0,10.0,0.9982784986495972,27.154362782,
2.0,1.0,10.0,0.9983289241790771,26.074629712,
2.0,1.0,10.0,0.9982532858848572,26.044496612,
5.0,1.0,10.0,0.9955751895904541,27.490261413,
5.0,1.0,10.0,0.995658814907074,27.487150409,
5.0,1.0,10.0,0.9956732392311096,26.405825503,
5.0,1.0,10.0,0.9955466389656067,27.090604032,
5.0,1.0,10.0,0.9957115054130554,26.378217483,
10.0,1.0,10.0,0.9913247227668762,28.499245373,
10.0,1.0,10.0,0.9912803173065186,27.761115308,
10.0,1.0,10.0,0.9911596179008484,27.792668455,
10.0,1.0,10.0,0.9911457300186157,28.478178015,
10.0,1.0,10.0,0.9909945726394653,27.664092659,
