d,T,K,u,time_simu
1.0,0.2,10.0,1.168195676786342,20.507048199
1.0,0.2,10.0,1.16760000989812,20.324927543
1.0,0.2,10.0,1.1684310849375257,21.781835298
1.0,0.2,10.0,1.1673682327072863,22.070556819
1.0,0.2,10.0,1.1682772037436404,21.855151376
1.0,0.5,10.0,1.4609328112444522,20.475014017
1.0,0.5,10.0,1.4508327853189504,21.169959574
1.0,0.5,10.0,1.449353691257301,22.804863648
1.0,0.5,10.0,1.4509067649652119,22.726915799
1.0,0.5,10.0,1.4578082159791064,22.407944348
1.0,1.0,10.0,2.0155693846083556,22.045373769
1.0,1.0,10.0,2.0074102259888607,19.77530527
1.0,1.0,10.0,2.0409816188629337,20.930676338
1.0,1.0,10.0,2.0503156539605625,21.813411622
1.0,1.0,10.0,2.010151373664197,22.619019682
2.0,0.2,10.0,1.2032146500368113,25.241990656
2.0,0.2,10.0,1.2027267603340501,26.353909414
2.0,0.2,10.0,1.2039520542009643,26.532213485
2.0,0.2,10.0,1.2032437638347597,26.66374149
2.0,0.2,10.0,1.2037130225493395,25.858203072
2.0,0.5,10.0,1.5867515320791408,25.025124234
2.0,0.5,10.0,1.5762476421190421,26.543261258
2.0,0.5,10.0,1.580673680497466,26.532367495
2.0,0.5,10.0,1.5754194036068838,26.083693524
2.0,0.5,10.0,1.5836056733461932,25.208143104
2.0,1.0,10.0,2.4554849988439136,27.392331179
2.0,1.0,10.0,2.510261552976481,26.303051021
2.0,1.0,10.0,2.48630553533849,25.82046695
2.0,1.0,10.0,2.409365390174756,26.349533168
2.0,1.0,10.0,2.4724897094900693,25.291088201
5.0,0.2,10.0,1.2092199615832775,53.821928652
5.0,0.2,10.0,1.2084982594149496,53.279799693
5.0,0.2,10.0,1.2091989286819436,52.09604266
5.0,0.2,10.0,1.2104530439337244,52.618119018
5.0,0.2,10.0,1.20837057418909,53.979294534
5.0,0.5,10.0,1.6056575683154435,52.793521345
5.0,0.5,10.0,1.619870253420324,53.501519303
5.0,0.5,10.0,1.601963632024798,53.2375461
5.0,0.5,10.0,1.6012532370891148,52.161086111
5.0,0.5,10.0,1.5884228784908507,52.610022726
5.0,1.0,10.0,2.509821913712175,53.57281902
5.0,1.0,10.0,2.5219404684547335,52.615971904
5.0,1.0,10.0,2.563538778290314,53.888675592
5.0,1.0,10.0,2.602315383672544,53.891227859
5.0,1.0,10.0,2.501779456809917,52.624778791
10.0,0.2,10.0,1.206758188116611,73.27018625
10.0,0.2,10.0,1.205086531763226,73.368092438
10.0,0.2,10.0,1.2058294754287764,73.776710812
10.0,0.2,10.0,1.2073729516138285,73.444572261
10.0,0.2,10.0,1.2053141625557502,72.564854063
10.0,0.5,10.0,1.592676841724181,75.912170214
10.0,0.5,10.0,1.6001280927591095,74.598022253
10.0,0.5,10.0,1.586246111080332,73.316761269
10.0,0.5,10.0,1.573942533168005,75.338152439
10.0,0.5,10.0,1.5865276444161078,73.702624815
10.0,1.0,10.0,2.5540071588693634,73.813156635
10.0,1.0,10.0,2.4896123955107385,75.019501349
10.0,1.0,10.0,2.4659869505610077,76.467901303
10.0,1.0,10.0,2.4643924516506543,73.628670377
10.0,1.0,10.0,2.6231159433781164,73.260575742
