T,N,d,batch_size,K,u,time simu,ref_value
0.2,2.0,5.0,1000.0,1.0,16.544851303100586,40.303213233,16.801556694196968
0.2,2.0,5.0,1000.0,1.0,16.573848724365234,40.275265307,16.801556694196968
0.2,2.0,5.0,1000.0,1.0,16.233150482177734,40.45329569,16.801556694196968
0.2,2.0,5.0,1000.0,1.0,16.210115432739258,40.31974212,16.801556694196968
0.2,2.0,5.0,1000.0,1.0,16.33212661743164,40.292324562,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.318056106567383,41.651430311,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.561159133911133,41.640805913,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.598407745361328,41.657526403,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.282747268676758,41.689232315,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.346282958984375,41.711166488,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.039873123168945,41.541626657,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.538272857666016,41.435626347,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.064754486083984,41.59403892,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.037841796875,41.637490585,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.54435920715332,41.653697414,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.78316307067871,41.548371147,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.39410972595215,41.562913346,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.589950561523438,41.617588356,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.542194366455078,41.640111739,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.595396041870117,41.686273161,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.47451400756836,41.569200912,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.327688217163086,41.521449191,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.526308059692383,41.580902898,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.436716079711914,41.552739332,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.592987060546875,41.538638119,16.801556694196968
