T,N,d,batch_size,K,u,time simu,ref_value
0.2,1.0,5.0,1000.0,3.0,16.58900260925293,149.625874343,16.801556694196968
0.2,1.0,5.0,1000.0,3.0,16.602243423461914,18.893216307,16.801556694196968
0.2,1.0,5.0,1000.0,3.0,16.358219146728516,18.930544815,16.801556694196968
0.2,1.0,5.0,1000.0,3.0,15.867949485778809,19.081953019,16.801556694196968
0.2,1.0,5.0,1000.0,3.0,16.12959861755371,18.943861309,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.476409912109375,41.228386666,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.200952529907227,39.457538997,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.51201629638672,39.669594768,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.397136688232422,39.532980785,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.385639190673828,39.524701625,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.242469787597656,60.484075208,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,15.863858222961426,60.787700555,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.081724166870117,60.951510255,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.846158981323242,61.128704549,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.092327117919922,61.288309924,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,15.757081985473633,82.300654783,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.18575096130371,82.510535514,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.414588928222656,82.972839775,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.499238967895508,82.957447331,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.883413314819336,83.156754979,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.049610137939453,104.881568362,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.18248176574707,105.046523574,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,15.839753150939941,105.293971776,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.324153900146484,105.516054767,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.54190444946289,105.655286795,16.801556694196968
