T,N,d,batch_size,K,u,time simu,ref_value
0.2,2.0,5.0,100.0,3.0,15.214737892150879,39.835034724,16.801556694196968
0.2,2.0,5.0,100.0,3.0,14.754075050354004,39.765294902,16.801556694196968
0.2,2.0,5.0,100.0,3.0,14.743085861206055,39.781401754,16.801556694196968
0.2,2.0,5.0,100.0,3.0,15.058101654052734,39.995895636,16.801556694196968
0.2,2.0,5.0,100.0,3.0,13.767598152160645,39.89086115,16.801556694196968
0.2,2.0,5.0,300.0,3.0,15.451769828796387,40.823776746,16.801556694196968
0.2,2.0,5.0,300.0,3.0,15.466059684753418,40.778371217,16.801556694196968
0.2,2.0,5.0,300.0,3.0,16.368112564086914,40.819662001,16.801556694196968
0.2,2.0,5.0,300.0,3.0,15.446958541870117,40.647599955,16.801556694196968
0.2,2.0,5.0,300.0,3.0,15.772383689880371,40.774138884,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.400218963623047,41.273067727,16.801556694196968
0.2,2.0,5.0,500.0,3.0,15.79519271850586,41.249530378,16.801556694196968
0.2,2.0,5.0,500.0,3.0,15.823741912841797,41.305871785,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.011472702026367,41.477974459,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.236047744750977,41.318172631,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.289979934692383,41.381072615,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.00204086303711,41.408970496,16.801556694196968
0.2,2.0,5.0,700.0,3.0,15.884163856506348,41.421740245,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.12745475769043,41.440231551,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.113697052001953,41.404128246,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.616540908813477,41.425957972,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.60399055480957,41.655149176,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.554546356201172,41.47910502,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.612674713134766,41.508909693,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.171377182006836,41.530572528,16.801556694196968
