T,M,d,K,L,u,time simu,ref_value
0.5,5.0,5.0,1.0,4.0,15.014166995524135,0.005760542,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.869096094972866,0.005623483,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.882168101312473,0.009352722,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.631585575249986,0.010644908,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.81822659387492,0.010828177,15.153515465455879
0.5,5.0,5.0,3.0,4.0,15.077426430259585,0.076514329,15.153515465455879
0.5,5.0,5.0,3.0,4.0,14.852036806508693,0.262309857,15.153515465455879
0.5,5.0,5.0,3.0,4.0,14.847880186259696,0.076214079,15.153515465455879
0.5,5.0,5.0,3.0,4.0,14.724657316459695,0.219226016,15.153515465455879
0.5,5.0,5.0,3.0,4.0,15.034397403232147,0.081206225,15.153515465455879
0.5,5.0,5.0,5.0,4.0,15.072989159850547,0.574206183,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.814126555606945,0.484054185,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.819071994121067,0.435676912,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.896138299531414,0.33352503,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.879864019190084,0.669273184,15.153515465455879
0.5,5.0,5.0,7.0,4.0,14.877608080547189,1.2682352,15.153515465455879
0.5,5.0,5.0,7.0,4.0,14.924767764791792,1.304501518,15.153515465455879
0.5,5.0,5.0,7.0,4.0,14.941676480136628,1.352078951,15.153515465455879
0.5,5.0,5.0,7.0,4.0,14.809967070064735,1.379831566,15.153515465455879
0.5,5.0,5.0,7.0,4.0,14.780984605080146,1.398640448,15.153515465455879
0.5,5.0,5.0,9.0,4.0,14.767018666842624,2.787883487,15.153515465455879
0.5,5.0,5.0,9.0,4.0,14.896377566446379,2.923816506,15.153515465455879
0.5,5.0,5.0,9.0,4.0,14.871110096780276,2.918400446,15.153515465455879
0.5,5.0,5.0,9.0,4.0,15.016899967337615,2.692626205,15.153515465455879
0.5,5.0,5.0,9.0,4.0,14.941218663837855,3.008058527,15.153515465455879
