T,M,d,K,L,u,time simu,ref_value
0.5,5.0,5.0,5.0,1.0,13.643301320673379,0.000359389,15.153515465455879
0.5,5.0,5.0,5.0,1.0,13.134285900130129,0.000199219,15.153515465455879
0.5,5.0,5.0,5.0,1.0,14.452057758994405,0.000144149,15.153515465455879
0.5,5.0,5.0,5.0,1.0,15.525478686818852,0.00013708,15.153515465455879
0.5,5.0,5.0,5.0,1.0,13.365996799664483,0.00014367,15.153515465455879
0.5,5.0,5.0,5.0,2.0,15.165712092135717,0.00022926,15.153515465455879
0.5,5.0,5.0,5.0,2.0,15.687578735919246,0.000393958,15.153515465455879
0.5,5.0,5.0,5.0,2.0,14.557358793076336,0.000376509,15.153515465455879
0.5,5.0,5.0,5.0,2.0,14.819974781933842,0.000353049,15.153515465455879
0.5,5.0,5.0,5.0,2.0,14.641072519097504,0.000392879,15.153515465455879
0.5,5.0,5.0,5.0,3.0,15.135337597516443,0.009065793,15.153515465455879
0.5,5.0,5.0,5.0,3.0,14.79387101543961,0.009229953,15.153515465455879
0.5,5.0,5.0,5.0,3.0,15.017310082886176,0.009561912,15.153515465455879
0.5,5.0,5.0,5.0,3.0,14.748890644770972,0.009445313,15.153515465455879
0.5,5.0,5.0,5.0,3.0,15.139824627413141,0.009332222,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.935380394740939,0.47083128,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.750605944121702,0.452813204,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.861573565857855,0.446325313,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.856118120407073,0.450686119,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.920374525955465,0.432024613,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.900510648152824,16.593206629,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.864823053330744,16.125336614,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.942544976298787,17.762625826,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.938960399632714,18.829194564,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.82471807540715,18.847691024,15.153515465455879
