T,N,d,batch_size,K,u,time simu,ref_value
0.5,3.0,5.0,1.0,1.0,14.538874626159668,3.139363444,15.153514863482872
0.5,3.0,5.0,1.0,1.0,13.98366641998291,3.133677792,15.153514863482872
0.5,3.0,5.0,1.0,1.0,14.157808303833008,3.152883938,15.153514863482872
0.5,3.0,5.0,1.0,1.0,13.715972900390625,3.143527673,15.153514863482872
0.5,3.0,5.0,1.0,1.0,13.643068313598633,3.179275863,15.153514863482872
0.5,3.0,5.0,51.0,1.0,14.277145385742188,3.398276554,15.153514863482872
0.5,3.0,5.0,51.0,1.0,14.230627059936523,3.5429419,15.153514863482872
0.5,3.0,5.0,51.0,1.0,13.881619453430176,3.421353912,15.153514863482872
0.5,3.0,5.0,51.0,1.0,14.408493995666504,3.432946541,15.153514863482872
0.5,3.0,5.0,51.0,1.0,14.117854118347168,3.432987253,15.153514863482872
0.5,3.0,5.0,101.0,1.0,14.335572242736816,3.587765811,15.153514863482872
0.5,3.0,5.0,101.0,1.0,14.21362590789795,3.452303128,15.153514863482872
0.5,3.0,5.0,101.0,1.0,14.247970581054688,3.466647715,15.153514863482872
0.5,3.0,5.0,101.0,1.0,14.146300315856934,3.457498937,15.153514863482872
0.5,3.0,5.0,101.0,1.0,14.10555362701416,3.590905371,15.153514863482872
0.5,3.0,5.0,151.0,1.0,14.359184265136719,3.47064846,15.153514863482872
0.5,3.0,5.0,151.0,1.0,14.272415161132812,3.470097425,15.153514863482872
0.5,3.0,5.0,151.0,1.0,14.19337272644043,3.487436848,15.153514863482872
0.5,3.0,5.0,151.0,1.0,14.117716789245605,3.618665251,15.153514863482872
0.5,3.0,5.0,151.0,1.0,14.022806167602539,3.47686331,15.153514863482872
0.5,3.0,5.0,201.0,1.0,14.060935020446777,3.481972468,15.153514863482872
0.5,3.0,5.0,201.0,1.0,14.153451919555664,3.478260697,15.153514863482872
0.5,3.0,5.0,201.0,1.0,14.25783920288086,3.611705509,15.153514863482872
0.5,3.0,5.0,201.0,1.0,14.02527904510498,3.488155306,15.153514863482872
0.5,3.0,5.0,201.0,1.0,14.214322090148926,3.479956036,15.153514863482872
