T,M,d,K,L,u,time simu,ref_value
0.5,5.0,5.0,1.0,1.0,13.890438311281505,2.840982291,15.153515465455879
0.5,5.0,5.0,1.0,1.0,14.238614898056076,0.001042623,15.153515465455879
0.5,5.0,5.0,1.0,1.0,15.079805515096917,0.000243781,15.153515465455879
0.5,5.0,5.0,1.0,1.0,14.489896544741601,0.00013851,15.153515465455879
0.5,5.0,5.0,1.0,1.0,14.947409369380816,0.000153991,15.153515465455879
0.5,5.0,5.0,1.0,2.0,14.895096728179976,0.000300071,15.153515465455879
0.5,5.0,5.0,1.0,2.0,14.70733352614109,0.00018197,15.153515465455879
0.5,5.0,5.0,1.0,2.0,14.46708810315728,0.000158461,15.153515465455879
0.5,5.0,5.0,1.0,2.0,15.767808685164203,0.00022828,15.153515465455879
0.5,5.0,5.0,1.0,2.0,13.819908221670932,0.00018329,15.153515465455879
0.5,5.0,5.0,1.0,3.0,14.791044399357402,0.000814662,15.153515465455879
0.5,5.0,5.0,1.0,3.0,14.588677081945443,0.000846101,15.153515465455879
0.5,5.0,5.0,1.0,3.0,14.564628548850841,0.000799212,15.153515465455879
0.5,5.0,5.0,1.0,3.0,14.790659467025016,0.000773802,15.153515465455879
0.5,5.0,5.0,1.0,3.0,15.022501745664103,0.000860432,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.839447079173903,0.010409075,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.827700299689932,0.010363404,15.153515465455879
0.5,5.0,5.0,1.0,4.0,15.103219874968694,0.010486635,15.153515465455879
0.5,5.0,5.0,1.0,4.0,15.017670044148705,0.010742265,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.904847123117966,0.010583315,15.153515465455879
0.5,5.0,5.0,1.0,5.0,14.881147025095489,0.125548348,15.153515465455879
0.5,5.0,5.0,1.0,5.0,14.825036987587385,0.304311151,15.153515465455879
0.5,5.0,5.0,1.0,5.0,14.926234539795821,0.253412909,15.153515465455879
0.5,5.0,5.0,1.0,5.0,14.899009851575169,0.250152019,15.153515465455879
0.5,5.0,5.0,1.0,5.0,14.878758781475517,0.240907767,15.153515465455879
