T,N,d,batch_size,K,u,time simu,ref_value
0.2,2.0,5.0,1.0,3.0,16.41227149963379,4.645758173,16.801556694196968
0.2,2.0,5.0,1.0,3.0,15.942764282226562,4.62339459,16.801556694196968
0.2,2.0,5.0,1.0,3.0,16.67329216003418,4.621208572,16.801556694196968
0.2,2.0,5.0,1.0,3.0,15.819544792175293,4.63777917,16.801556694196968
0.2,2.0,5.0,1.0,3.0,17.038162231445312,4.627180325,16.801556694196968
0.2,2.0,5.0,51.0,3.0,16.42203140258789,4.867887825,16.801556694196968
0.2,2.0,5.0,51.0,3.0,16.46221351623535,4.887217337,16.801556694196968
0.2,2.0,5.0,51.0,3.0,16.47231101989746,4.902276484,16.801556694196968
0.2,2.0,5.0,51.0,3.0,16.40262222290039,4.887813702,16.801556694196968
0.2,2.0,5.0,51.0,3.0,16.46100616455078,4.887948312,16.801556694196968
0.2,2.0,5.0,101.0,3.0,16.382993698120117,5.040112401,16.801556694196968
0.2,2.0,5.0,101.0,3.0,16.35822296142578,4.892131786,16.801556694196968
0.2,2.0,5.0,101.0,3.0,16.43299674987793,4.91603269,16.801556694196968
0.2,2.0,5.0,101.0,3.0,16.419322967529297,4.905956121,16.801556694196968
0.2,2.0,5.0,101.0,3.0,16.287715911865234,4.898576486,16.801556694196968
0.2,2.0,5.0,151.0,3.0,16.298152923583984,5.025248212,16.801556694196968
0.2,2.0,5.0,151.0,3.0,16.451927185058594,4.893330127,16.801556694196968
0.2,2.0,5.0,151.0,3.0,16.2716007232666,4.872570695,16.801556694196968
0.2,2.0,5.0,151.0,3.0,16.52519416809082,4.868780737,16.801556694196968
0.2,2.0,5.0,151.0,3.0,16.373788833618164,4.872673633,16.801556694196968
0.2,2.0,5.0,201.0,3.0,16.277542114257812,4.867678774,16.801556694196968
0.2,2.0,5.0,201.0,3.0,16.37955093383789,4.881113111,16.801556694196968
0.2,2.0,5.0,201.0,3.0,16.258811950683594,4.850917175,16.801556694196968
0.2,2.0,5.0,201.0,3.0,16.332674026489258,4.850042301,16.801556694196968
0.2,2.0,5.0,201.0,3.0,16.4146785736084,5.032518386,16.801556694196968
