T,M,d,K,L,u,time simu,ref_value
0.5,4.0,5.0,1.0,4.0,14.986530962271923,0.003959356,15.153515465455879
0.5,4.0,5.0,1.0,4.0,14.958488222258694,0.002239657,15.153515465455879
0.5,4.0,5.0,1.0,4.0,15.044137086900887,0.004358333,15.153515465455879
0.5,4.0,5.0,1.0,4.0,14.76865436438261,0.005031419,15.153515465455879
0.5,4.0,5.0,1.0,4.0,14.891456992300622,0.005225958,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.966757501611035,0.188723827,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.818020623322578,0.215134515,15.153515465455879
0.5,4.0,5.0,5.0,4.0,15.084669199715087,0.220807171,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.683544965276738,0.229941225,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.72915002034833,0.231250696,15.153515465455879
0.5,4.0,5.0,9.0,4.0,14.836766726993556,1.20270098,15.153515465455879
0.5,4.0,5.0,9.0,4.0,14.91555677535199,1.102450993,15.153515465455879
0.5,4.0,5.0,9.0,4.0,14.772829608981882,1.197262613,15.153515465455879
0.5,4.0,5.0,9.0,4.0,15.01761701462994,1.270126228,15.153515465455879
0.5,4.0,5.0,9.0,4.0,14.852515036247064,1.067501446,15.153515465455879
0.5,4.0,5.0,13.0,4.0,14.802125112048397,4.160257104,15.153515465455879
0.5,4.0,5.0,13.0,4.0,14.938313071164446,3.931670261,15.153515465455879
0.5,4.0,5.0,13.0,4.0,14.82611940712532,4.15127444,15.153515465455879
0.5,4.0,5.0,13.0,4.0,14.89074424804173,3.969898097,15.153515465455879
0.5,4.0,5.0,13.0,4.0,14.690591613059668,4.178869471,15.153515465455879
0.5,4.0,5.0,17.0,4.0,14.731103253472812,9.803866522,15.153515465455879
0.5,4.0,5.0,17.0,4.0,15.056152894519142,10.049262552,15.153515465455879
0.5,4.0,5.0,17.0,4.0,15.105712590580797,9.822980654,15.153515465455879
0.5,4.0,5.0,17.0,4.0,15.141908097020494,10.161706574,15.153515465455879
0.5,4.0,5.0,17.0,4.0,14.908138827444914,10.513339405,15.153515465455879
