T,N,d,batch_size,K,u,time simu,ref_value
0.2,2.0,5.0,50.0,1.0,16.187150955200195,4.774269891,16.801556694196968
0.2,2.0,5.0,50.0,1.0,16.406082153320312,4.933915887,16.801556694196968
0.2,2.0,5.0,50.0,1.0,16.21177864074707,4.79656775,16.801556694196968
0.2,2.0,5.0,50.0,1.0,16.292131423950195,4.943918238,16.801556694196968
0.2,2.0,5.0,50.0,1.0,16.457988739013672,4.797558415,16.801556694196968
0.2,2.0,5.0,50.0,2.0,16.314241409301758,5.035404733,16.801556694196968
0.2,2.0,5.0,50.0,2.0,16.147789001464844,4.896332246,16.801556694196968
0.2,2.0,5.0,50.0,2.0,16.465850830078125,5.063019202,16.801556694196968
0.2,2.0,5.0,50.0,2.0,16.410289764404297,4.896494915,16.801556694196968
0.2,2.0,5.0,50.0,2.0,16.06154441833496,5.040422114,16.801556694196968
0.2,2.0,5.0,50.0,3.0,16.503437042236328,4.911090551,16.801556694196968
0.2,2.0,5.0,50.0,3.0,16.475709915161133,5.031789964,16.801556694196968
0.2,2.0,5.0,50.0,3.0,16.59505844116211,4.916521228,16.801556694196968
0.2,2.0,5.0,50.0,3.0,16.529071807861328,5.032630379,16.801556694196968
0.2,2.0,5.0,50.0,3.0,16.188512802124023,4.890348411,16.801556694196968
0.2,2.0,5.0,50.0,4.0,16.273696899414062,5.045561433,16.801556694196968
0.2,2.0,5.0,50.0,4.0,16.50773811340332,4.898593643,16.801556694196968
0.2,2.0,5.0,50.0,4.0,16.46888542175293,4.907003703,16.801556694196968
0.2,2.0,5.0,50.0,4.0,16.565073013305664,4.899410238,16.801556694196968
0.2,2.0,5.0,50.0,4.0,16.158206939697266,4.932330676,16.801556694196968
0.2,2.0,5.0,50.0,5.0,16.384538650512695,4.900633121,16.801556694196968
0.2,2.0,5.0,50.0,5.0,16.28207778930664,5.043079048,16.801556694196968
0.2,2.0,5.0,50.0,5.0,16.40254783630371,4.91946659,16.801556694196968
0.2,2.0,5.0,50.0,5.0,16.260007858276367,4.915883052,16.801556694196968
0.2,2.0,5.0,50.0,5.0,16.384990692138672,4.930229828,16.801556694196968
