T,N,d,batch_size,K,L1_err,time simu
0.2,2.0,5.0,10.0,3.0,0.2231768007161029,40.637681478
0.2,2.0,5.0,10.0,3.0,0.30083219772813796,40.826938876
0.2,2.0,5.0,10.0,3.0,0.2332975630706243,40.856684892
0.2,2.0,5.0,10.0,3.0,0.27702344449286015,40.862934672
0.2,2.0,5.0,10.0,3.0,0.27157525916203856,40.665067519
0.2,2.0,5.0,100.0,3.0,0.12592238381670218,41.147096699
0.2,2.0,5.0,100.0,3.0,0.1583773037497452,41.170725221
0.2,2.0,5.0,100.0,3.0,0.13408862042389216,41.1999427
0.2,2.0,5.0,100.0,3.0,0.1347493151593616,41.212800148
0.2,2.0,5.0,100.0,3.0,0.1357237790112498,41.193342422
0.2,2.0,5.0,1000.0,3.0,0.08728981718780186,41.395101267
0.2,2.0,5.0,1000.0,3.0,0.08808727636422689,41.572960951
0.2,2.0,5.0,1000.0,3.0,0.07475599788662969,41.368964803
0.2,2.0,5.0,1000.0,3.0,0.0886806932872664,41.475851373
0.2,2.0,5.0,1000.0,3.0,0.08162018237881864,41.760756317
0.2,2.0,5.0,10000.0,3.0,0.0597873970528277,44.17260827
0.2,2.0,5.0,10000.0,3.0,0.0513356373476091,43.770011364
0.2,2.0,5.0,10000.0,3.0,0.05071171968025279,43.891002339
0.2,2.0,5.0,10000.0,3.0,0.05512912237116119,43.938058771
0.2,2.0,5.0,10000.0,3.0,0.05989302375046461,43.956672936
