T,M,d,K,L,u,time simu,ref_value
0.5,1.0,5.0,5.0,4.0,16.674915303522035,0.002333617,15.153515465455879
0.5,1.0,5.0,5.0,4.0,11.322058989446361,0.003279761,15.153515465455879
0.5,1.0,5.0,5.0,4.0,14.699855090685627,0.001362752,15.153515465455879
0.5,1.0,5.0,5.0,4.0,18.111695786770362,0.001267703,15.153515465455879
0.5,1.0,5.0,5.0,4.0,16.402723925927535,0.001308083,15.153515465455879
0.5,2.0,5.0,5.0,4.0,15.329289493090052,0.023274164,15.153515465455879
0.5,2.0,5.0,5.0,4.0,14.972685131254174,0.023362074,15.153515465455879
0.5,2.0,5.0,5.0,4.0,14.698885312331907,0.023376584,15.153515465455879
0.5,2.0,5.0,5.0,4.0,15.219835383737358,0.022550728,15.153515465455879
0.5,2.0,5.0,5.0,4.0,15.331616136751666,0.02228326,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.457762937062427,0.050087848,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.51279722646124,0.065531989,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.90142910088551,0.200321633,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.597964248371866,0.066067856,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.792555321290097,0.050685644,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.781364649034206,0.272337244,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.796305950877626,0.085346112,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.78966531762446,0.265821972,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.944490454043027,0.085496472,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.820092831602167,0.261891704,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.886291387532307,0.415978858,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.70945038436389,0.449246444,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.822923506167818,0.377391732,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.800531056588254,0.398744798,15.153515465455879
0.5,5.0,5.0,5.0,4.0,15.030373575790321,0.428749974,15.153515465455879
