T,N,d,batch_size,K,u,time simu,ref_value
10.0,1.0,5.0,200.0,3.0,0.0,2.186287158,4.004753475181323
10.0,1.0,5.0,200.0,3.0,0.0,2.127407735,4.004753475181323
10.0,1.0,5.0,200.0,3.0,0.0,2.09833023,4.004753475181323
10.0,1.0,5.0,200.0,3.0,0.0,2.117254346,4.004753475181323
10.0,1.0,5.0,200.0,3.0,0.0,2.225276844,4.004753475181323
10.0,2.0,5.0,200.0,3.0,0.28941819071769714,4.778392009,4.004753475181323
10.0,2.0,5.0,200.0,3.0,0.23509517312049866,4.646800814,4.004753475181323
10.0,2.0,5.0,200.0,3.0,0.2822071313858032,4.763434351,4.004753475181323
10.0,2.0,5.0,200.0,3.0,0.2948659360408783,4.78094748,4.004753475181323
10.0,2.0,5.0,200.0,3.0,0.2969162166118622,4.64900546,4.004753475181323
10.0,3.0,5.0,200.0,3.0,0.39534929394721985,7.318915011,4.004753475181323
10.0,3.0,5.0,200.0,3.0,0.511788010597229,7.19590171,4.004753475181323
10.0,3.0,5.0,200.0,3.0,0.5026829242706299,7.350439402,4.004753475181323
10.0,3.0,5.0,200.0,3.0,0.5091280341148376,7.353545337,4.004753475181323
10.0,3.0,5.0,200.0,3.0,0.3510439991950989,7.242309288,4.004753475181323
10.0,4.0,5.0,200.0,3.0,0.45497724413871765,9.991701833,4.004753475181323
10.0,4.0,5.0,200.0,3.0,0.5681278705596924,9.994706741,4.004753475181323
10.0,4.0,5.0,200.0,3.0,0.43414971232414246,9.910133861,4.004753475181323
10.0,4.0,5.0,200.0,3.0,0.4567730128765106,10.05157822,4.004753475181323
10.0,4.0,5.0,200.0,3.0,0.4337787330150604,10.06478648,4.004753475181323
10.0,5.0,5.0,200.0,3.0,0.4267282783985138,12.532889385,4.004753475181323
10.0,5.0,5.0,200.0,3.0,0.5941175818443298,12.595979634,4.004753475181323
10.0,5.0,5.0,200.0,3.0,0.5311885476112366,12.703454266,4.004753475181323
10.0,5.0,5.0,200.0,3.0,0.5397266745567322,12.74104449,4.004753475181323
10.0,5.0,5.0,200.0,3.0,0.5312047600746155,12.60363134,4.004753475181323
