T,N,d,batch_size,K,L1_err,time simu
0.2,2.0,5.0,1000.0,1.0,0.11226983166908562,41.782230244
0.2,2.0,5.0,1000.0,1.0,0.08994175724841147,41.9171515
0.2,2.0,5.0,1000.0,1.0,0.10571042199729111,41.734035895
0.2,2.0,5.0,1000.0,1.0,0.07737898942994935,41.81141659
0.2,2.0,5.0,1000.0,1.0,0.080639518441361,41.972671314
0.2,2.0,5.0,1000.0,2.0,0.09501246585289151,43.319120389
0.2,2.0,5.0,1000.0,2.0,0.10145185748112491,43.30373976
0.2,2.0,5.0,1000.0,2.0,0.0763460093873181,43.330062943
0.2,2.0,5.0,1000.0,2.0,0.09784264045104427,43.355086111
0.2,2.0,5.0,1000.0,2.0,0.08627557507605801,43.317588902
0.2,2.0,5.0,1000.0,3.0,0.07707779939757248,43.25599499
0.2,2.0,5.0,1000.0,3.0,0.09314762315220841,43.258752455
0.2,2.0,5.0,1000.0,3.0,0.08916170176717687,43.312973834
0.2,2.0,5.0,1000.0,3.0,0.08125804683068688,43.487906084
0.2,2.0,5.0,1000.0,3.0,0.07732493639188848,43.321346394
0.2,2.0,5.0,1000.0,4.0,0.07667868021013888,43.355752526
0.2,2.0,5.0,1000.0,4.0,0.07690833386428993,43.343226795
0.2,2.0,5.0,1000.0,4.0,0.08033209820002538,43.353845983
0.2,2.0,5.0,1000.0,4.0,0.07826386566580537,43.362071656
0.2,2.0,5.0,1000.0,4.0,0.08125348765922231,43.358103816
0.2,2.0,5.0,1000.0,5.0,0.08962798681723165,43.359672598
0.2,2.0,5.0,1000.0,5.0,0.07688155707436062,43.340141281
0.2,2.0,5.0,1000.0,5.0,0.07676354871637459,43.349149445
0.2,2.0,5.0,1000.0,5.0,0.07526534725037519,43.350204676
0.2,2.0,5.0,1000.0,5.0,0.08832163860106541,43.340391516
