d,T,K,u,time_simu
1.0,0.2,10.0,1.7568030107550896,0.10572927
1.0,0.2,10.0,1.7560923051243131,0.109505981
1.0,0.2,10.0,1.7570968915487888,0.108470994
1.0,0.2,10.0,1.7572038812224378,0.102686594
1.0,0.2,10.0,1.7567725260258835,0.105053071
2.0,0.2,10.0,3.086048015070533,0.100204995
2.0,0.2,10.0,3.0862805452124302,0.096702111
2.0,0.2,10.0,3.084507936866194,0.11254566
2.0,0.2,10.0,3.0824295612886323,0.094863531
2.0,0.2,10.0,3.0861570555546836,0.085929086
5.0,0.2,10.0,16.71586742772225,0.086476302
5.0,0.2,10.0,16.729861580566492,0.117040634
5.0,0.2,10.0,16.699623919797656,0.113920889
5.0,0.2,10.0,16.683057081742145,0.124934482
5.0,0.2,10.0,16.677227562981965,0.116944192
10.0,0.2,10.0,278.30045565981004,0.145994381
10.0,0.2,10.0,277.6653014614701,0.11131155
10.0,0.2,10.0,277.61891470841414,0.128264382
10.0,0.2,10.0,276.12959146229554,0.124499671
10.0,0.2,10.0,275.3069680740941,0.139373634
1.0,0.5,10.0,1.717917312980137,0.097314573
1.0,0.5,10.0,1.7187014457372758,0.090634647
1.0,0.5,10.0,1.720373640929462,0.068505952
1.0,0.5,10.0,1.7199558190538646,0.091737401
1.0,0.5,10.0,1.7190122291730574,0.06901767
2.0,0.5,10.0,2.9534506946738968,0.069860265
2.0,0.5,10.0,2.943254106445693,0.100059097
2.0,0.5,10.0,2.9395219815709823,0.102736063
2.0,0.5,10.0,2.954371496357543,0.07060474
2.0,0.5,10.0,2.953294770058736,0.103776257
5.0,0.5,10.0,14.928659002151218,0.118004192
5.0,0.5,10.0,14.93460700102532,0.119436815
5.0,0.5,10.0,14.907674244575507,0.105913675
5.0,0.5,10.0,14.91132660186451,0.333221943
5.0,0.5,10.0,14.878372287396726,0.087046344
10.0,0.5,10.0,215.49700146662556,0.130487306
10.0,0.5,10.0,214.42768378349547,0.132168078
10.0,0.5,10.0,216.1435905718875,0.141321909
10.0,0.5,10.0,219.34141532881904,0.132939832
10.0,0.5,10.0,210.49888585994893,0.136095199
1.0,1.0,10.0,1.6607331934568923,0.091651881
1.0,1.0,10.0,1.66029958687413,0.070899088
1.0,1.0,10.0,1.6578109831559662,0.103755828
1.0,1.0,10.0,1.6634085528300935,0.069078464
1.0,1.0,10.0,1.6591844657077741,0.102592926
2.0,1.0,10.0,2.737400441191237,0.074017591
2.0,1.0,10.0,2.7554247290016716,0.08974206
2.0,1.0,10.0,2.76876655184595,0.100816134
2.0,1.0,10.0,2.758106167220476,0.105846775
2.0,1.0,10.0,2.7447983003249643,0.087528951
5.0,1.0,10.0,12.463263586782178,0.103724936
5.0,1.0,10.0,12.218289214085852,0.108026099
5.0,1.0,10.0,12.255559549892961,0.116052737
5.0,1.0,10.0,12.453870761829911,0.123919933
5.0,1.0,10.0,12.546068651054748,0.114731338
10.0,1.0,10.0,148.0174184696345,0.126342187
10.0,1.0,10.0,147.91305445536125,0.137215505
10.0,1.0,10.0,154.26656344639503,0.136625667
10.0,1.0,10.0,151.56968349044297,0.109862799
10.0,1.0,10.0,141.31331168369303,0.146261397
