d,T,K,u,time_simu
1.0,0.2,10.0,0.9995857305405595,0.015975758
1.0,0.2,10.0,0.9995987406716854,0.016179947
1.0,0.2,10.0,0.9995894861082725,0.017000934
1.0,0.2,10.0,0.999607212689299,0.016766995
1.0,0.2,10.0,0.9996011208644665,0.018145502
2.0,0.2,10.0,0.9991595021899948,0.01916352
2.0,0.2,10.0,0.9991983704396842,0.01858102
2.0,0.2,10.0,0.9991738566909524,0.018290572
2.0,0.2,10.0,0.9991994752409473,0.020140936
2.0,0.2,10.0,0.9991737321184386,0.018813371
5.0,0.2,10.0,0.9979543201261561,0.020640036
5.0,0.2,10.0,0.9978809234852993,0.020595836
5.0,0.2,10.0,0.9980079134900168,0.020471387
5.0,0.2,10.0,0.9979390124659375,0.020991786
5.0,0.2,10.0,0.9979687606968025,0.021348715
10.0,0.2,10.0,0.9959661176954481,0.02678492
10.0,0.2,10.0,0.9958930587498412,0.026615481
10.0,0.2,10.0,0.996025502673524,0.026144953
10.0,0.2,10.0,0.9958413502778427,0.026531762
10.0,0.2,10.0,0.9960301811791294,0.02717853
1.0,0.5,10.0,0.9992653077295521,0.017836875
1.0,0.5,10.0,0.9992988648868705,0.018327602
1.0,0.5,10.0,0.9993005801383704,0.016849246
1.0,0.5,10.0,0.9991895171085162,0.016330398
1.0,0.5,10.0,0.9992776632315634,0.016961017
2.0,0.5,10.0,0.9984687374813708,0.017647245
2.0,0.5,10.0,0.9985656055099623,0.019360291
2.0,0.5,10.0,0.9984681691568412,0.017820884
2.0,0.5,10.0,0.9982520369381233,0.017569875
2.0,0.5,10.0,0.9986718475832835,0.018038484
5.0,0.5,10.0,0.9964523032285533,0.020679318
5.0,0.5,10.0,0.9962403731676099,0.020445448
5.0,0.5,10.0,0.9963920884407326,0.020003999
5.0,0.5,10.0,0.9960329508668704,0.01960384
5.0,0.5,10.0,0.9963020697748789,0.020438809
10.0,0.5,10.0,0.9926045686587366,0.027302761
10.0,0.5,10.0,0.9920588688528967,0.028215829
10.0,0.5,10.0,0.992883249049936,0.024771718
10.0,0.5,10.0,0.9923247565223823,0.026994032
10.0,0.5,10.0,0.9922317222147039,0.025488527
1.0,1.0,10.0,0.9987258889877616,0.016419899
1.0,1.0,10.0,0.9988045813833868,0.018125955
1.0,1.0,10.0,0.9989764838338319,0.018345494
1.0,1.0,10.0,0.9985427751090526,0.017585666
1.0,1.0,10.0,0.9994673750628049,0.016359819
2.0,1.0,10.0,0.9983086413523001,0.018568954
2.0,1.0,10.0,0.9974060527095896,0.018086975
2.0,1.0,10.0,0.9979738081411694,0.017912366
2.0,1.0,10.0,0.9985617928843006,0.018946763
2.0,1.0,10.0,0.9978439540000026,0.018575144
5.0,1.0,10.0,0.995957624021596,0.021157737
5.0,1.0,10.0,0.9956557478986097,0.021650636
5.0,1.0,10.0,0.9956849996350057,0.019379602
5.0,1.0,10.0,0.9949322206077027,0.02006413
5.0,1.0,10.0,0.995827592662236,0.021994916
10.0,1.0,10.0,0.9897816588460042,0.025983796
10.0,1.0,10.0,0.9896540881207372,0.025980976
10.0,1.0,10.0,0.9922882740063583,0.025271008
10.0,1.0,10.0,0.989736606506818,0.025263478
10.0,1.0,10.0,0.9927812391773073,0.02429989
