d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.17360520362854,13.446892292,
1.0,0.2,10.0,1.1736186742782593,13.307172801,
1.0,0.2,10.0,1.1736204624176025,13.4992268,
1.0,0.2,10.0,1.1736222505569458,13.345776805,
1.0,0.2,10.0,1.1736009120941162,13.070278365,
2.0,0.2,10.0,1.2096168994903564,13.577244495,
2.0,0.2,10.0,1.2096531391143799,13.808976127,
2.0,0.2,10.0,1.2096881866455078,13.848248969,
2.0,0.2,10.0,1.209671974182129,13.762268355,
2.0,0.2,10.0,1.2096675634384155,13.70359436,
5.0,0.2,10.0,1.2159359455108643,13.401578323,
5.0,0.2,10.0,1.2159740924835205,13.438421089,
5.0,0.2,10.0,1.2159693241119385,13.35298254,
5.0,0.2,10.0,1.2159154415130615,13.403910443,
5.0,0.2,10.0,1.215907335281372,13.356871809,
10.0,0.2,10.0,1.2127996683120728,13.421473193,
10.0,0.2,10.0,1.2129197120666504,13.400059992,
10.0,0.2,10.0,1.212988257408142,13.284291037,
10.0,0.2,10.0,1.2129853963851929,13.437911225,
10.0,0.2,10.0,1.212909460067749,13.274931151,
1.0,0.5,10.0,1.4695364236831665,13.269563385,
1.0,0.5,10.0,1.4694890975952148,13.126211248,
1.0,0.5,10.0,1.469634771347046,13.323428781,
1.0,0.5,10.0,1.469436764717102,13.156299864,
1.0,0.5,10.0,1.4694746732711792,13.48109607,
2.0,0.5,10.0,1.5949976444244385,13.885037237,
2.0,0.5,10.0,1.5947998762130737,13.905868723,
2.0,0.5,10.0,1.5949733257293701,13.548314548,
2.0,0.5,10.0,1.594840168952942,13.695700368,
2.0,0.5,10.0,1.5948618650436401,13.670271923,
5.0,0.5,10.0,1.6182838678359985,13.717211871,
5.0,0.5,10.0,1.6184524297714233,13.84678066,
5.0,0.5,10.0,1.6186860799789429,13.641865433,
5.0,0.5,10.0,1.6184488534927368,13.684702859,
5.0,0.5,10.0,1.6191692352294922,13.50727502,
10.0,0.5,10.0,1.6088786125183105,13.553781849,
10.0,0.5,10.0,1.6088732481002808,13.751790949,
10.0,0.5,10.0,1.6087613105773926,13.648714859,
10.0,0.5,10.0,1.6088780164718628,13.725025543,
10.0,0.5,10.0,1.6090192794799805,13.545747086,
1.0,1.0,10.0,2.049342393875122,13.561119001,
1.0,1.0,10.0,2.0494654178619385,13.303751362,
1.0,1.0,10.0,2.049482822418213,13.330641121,
1.0,1.0,10.0,2.0494024753570557,13.507049497,
1.0,1.0,10.0,2.04943585395813,13.620128061,
2.0,1.0,10.0,2.4686219692230225,13.896111533,
2.0,1.0,10.0,2.4686343669891357,14.037594884,
2.0,1.0,10.0,2.467315196990967,14.342255735,
2.0,1.0,10.0,2.4691832065582275,14.167746487,
2.0,1.0,10.0,2.4684503078460693,14.060568314,
5.0,1.0,10.0,2.5611815452575684,13.768132648,
5.0,1.0,10.0,2.560800075531006,13.731359273,
5.0,1.0,10.0,2.5608057975769043,13.788169207,
5.0,1.0,10.0,2.5617456436157227,13.637296686,
5.0,1.0,10.0,2.5601160526275635,13.603767343,
10.0,1.0,10.0,2.531688690185547,13.636010988,
10.0,1.0,10.0,2.531049966812134,13.46974194,
10.0,1.0,10.0,2.529093027114868,13.65371073,
10.0,1.0,10.0,2.5317893028259277,13.500457844,
10.0,1.0,10.0,2.531604766845703,13.666113432,
