d,T,K,u,time_simu
1.0,0.2,10.0,1.1746297419554899,0.029952935
1.0,0.2,10.0,1.1752734195688592,0.043237205
1.0,0.2,10.0,1.1749090623018845,0.04120907
1.0,0.2,10.0,1.1752676760510619,0.04155428
1.0,0.2,10.0,1.1752094897784482,0.043483875
2.0,0.2,10.0,1.2124113695372918,0.047637676
2.0,0.2,10.0,1.2116390396444727,0.046346839
2.0,0.2,10.0,1.2114899744128804,0.048516983
2.0,0.2,10.0,1.211893862579385,0.049169433
2.0,0.2,10.0,1.2117826051971112,0.052872795
5.0,0.2,10.0,1.2177751537803922,0.070718455
5.0,0.2,10.0,1.219114778658048,0.060226099
5.0,0.2,10.0,1.2197916145862564,0.06443074
5.0,0.2,10.0,1.2161510890056146,0.070824096
5.0,0.2,10.0,1.2174174210168478,0.070657156
10.0,0.2,10.0,1.2153819103180534,0.097408429
10.0,0.2,10.0,1.2160235319806936,0.080182585
10.0,0.2,10.0,1.2154818725166208,0.059524231
10.0,0.2,10.0,1.2144285003408937,0.079438068
10.0,0.2,10.0,1.2151821396203704,0.060497518
1.0,0.5,10.0,1.4749329872044117,0.040390142
1.0,0.5,10.0,1.4762715056929954,0.032852879
1.0,0.5,10.0,1.4808044996999408,0.034247466
1.0,0.5,10.0,1.4795402152215045,0.034137775
1.0,0.5,10.0,1.4794913339862943,0.040207123
2.0,0.5,10.0,1.6180708697293977,0.048206095
2.0,0.5,10.0,1.613907358025597,0.047323338
2.0,0.5,10.0,1.6054135092096589,0.047678107
2.0,0.5,10.0,1.6233557137756855,0.051540678
2.0,0.5,10.0,1.6157608926412312,0.047166098
5.0,0.5,10.0,1.634253143989992,0.070315258
5.0,0.5,10.0,1.6311138064217559,0.071885965
5.0,0.5,10.0,1.6375331181090425,0.057703646
5.0,0.5,10.0,1.6398104120339108,0.059390302
5.0,0.5,10.0,1.6343739835143092,0.063505682
10.0,0.5,10.0,1.6320650650417168,0.091888222
10.0,0.5,10.0,1.6170415347144864,0.082150583
10.0,0.5,10.0,1.6235571286419428,0.077989742
10.0,0.5,10.0,1.6235368365756737,0.093835088
10.0,0.5,10.0,1.6279939338245955,0.093648688
1.0,1.0,10.0,2.0837604353504706,0.023721959
1.0,1.0,10.0,2.06883594068455,0.026168503
1.0,1.0,10.0,2.045847219481375,0.044472884
1.0,1.0,10.0,2.0786824046601886,0.04189418
1.0,1.0,10.0,2.0650931061256195,0.042192809
2.0,1.0,10.0,2.619015225956676,0.046178301
2.0,1.0,10.0,2.545962677768287,0.045428813
2.0,1.0,10.0,2.547771309764097,0.048294576
2.0,1.0,10.0,2.6060344755332245,0.048902395
2.0,1.0,10.0,2.5672966982178744,0.047096598
5.0,1.0,10.0,2.7014836160157127,0.070682488
5.0,1.0,10.0,2.6490204284617622,0.041222871
5.0,1.0,10.0,2.6364836977147803,0.075120728
5.0,1.0,10.0,2.6976295905647065,0.070325078
5.0,1.0,10.0,2.629246249862515,0.070153259
10.0,1.0,10.0,2.6417850452491116,0.091421053
10.0,1.0,10.0,2.6353633905434926,0.077280314
10.0,1.0,10.0,2.6357050459647016,0.076654776
10.0,1.0,10.0,2.739524217041021,0.078313752
10.0,1.0,10.0,2.6050578453436644,0.090409306
