d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.1362985372543335,12.58928289,
1.0,0.2,10.0,1.1362992525100708,12.314275431,
1.0,0.2,10.0,1.1363146305084229,12.266581245,
1.0,0.2,10.0,1.1362837553024292,12.252816917,
1.0,0.2,10.0,1.136301875114441,12.463628773,
2.0,0.2,10.0,1.1678498983383179,12.711071564,
2.0,0.2,10.0,1.1678522825241089,12.904551027,
2.0,0.2,10.0,1.1678695678710938,12.76620602,
2.0,0.2,10.0,1.1678485870361328,12.683760001,
2.0,0.2,10.0,1.1678411960601807,12.970193197,
5.0,0.2,10.0,1.1732131242752075,12.863502351,
5.0,0.2,10.0,1.1731523275375366,12.695597781,
5.0,0.2,10.0,1.1731752157211304,12.518044464,
5.0,0.2,10.0,1.1732170581817627,12.611656767,
5.0,0.2,10.0,1.1731942892074585,12.521691967,
10.0,0.2,10.0,1.170494556427002,12.472231317,
10.0,0.2,10.0,1.1704576015472412,12.567844323,
10.0,0.2,10.0,1.1704332828521729,12.556460078,
10.0,0.2,10.0,1.17044997215271,12.449808266,
10.0,0.2,10.0,1.170475959777832,12.391133947,
1.0,0.5,10.0,1.3514047861099243,12.564244577,
1.0,0.5,10.0,1.3514180183410645,12.5785847,
1.0,0.5,10.0,1.3513795137405396,12.580830364,
1.0,0.5,10.0,1.3514091968536377,12.494597429,
1.0,0.5,10.0,1.3513822555541992,12.358282795,
2.0,0.5,10.0,1.4393055438995361,12.689102084,
2.0,0.5,10.0,1.4393390417099,12.93672824,
2.0,0.5,10.0,1.4393786191940308,12.917581396,
2.0,0.5,10.0,1.4393342733383179,13.026819232,
2.0,0.5,10.0,1.4393404722213745,12.85951787,
5.0,0.5,10.0,1.4546798467636108,12.431140565,
5.0,0.5,10.0,1.4546730518341064,12.451116079,
5.0,0.5,10.0,1.4546456336975098,12.371767824,
5.0,0.5,10.0,1.4546550512313843,12.374913399,
5.0,0.5,10.0,1.4546910524368286,12.392977483,
10.0,0.5,10.0,1.447440266609192,12.335608083,
10.0,0.5,10.0,1.4473901987075806,12.36277788,
10.0,0.5,10.0,1.4474358558654785,12.327239953,
10.0,0.5,10.0,1.4472841024398804,12.361044012,
10.0,0.5,10.0,1.4473527669906616,12.353468712,
1.0,1.0,10.0,1.7113593816757202,12.307712401,
1.0,1.0,10.0,1.7114073038101196,12.264037656,
1.0,1.0,10.0,1.7114325761795044,12.278154849,
1.0,1.0,10.0,1.711364984512329,12.285168617,
1.0,1.0,10.0,1.7114859819412231,12.345314629,
2.0,1.0,10.0,1.9020036458969116,13.179094127,
2.0,1.0,10.0,1.90199875831604,12.814379309,
2.0,1.0,10.0,1.9019205570220947,13.022989778,
2.0,1.0,10.0,1.9021116495132446,12.793554712,
2.0,1.0,10.0,1.9019336700439453,12.976035741,
5.0,1.0,10.0,1.936456561088562,12.782371462,
5.0,1.0,10.0,1.936414361000061,12.561083162,
5.0,1.0,10.0,1.9363656044006348,12.550315008,
5.0,1.0,10.0,1.9363638162612915,12.477352365,
5.0,1.0,10.0,1.9364235401153564,12.490306116,
10.0,1.0,10.0,1.9221924543380737,12.625548493,
10.0,1.0,10.0,1.922311782836914,12.438816808,
10.0,1.0,10.0,1.922371745109558,12.401892388,
10.0,1.0,10.0,1.9222972393035889,12.398655222,
10.0,1.0,10.0,1.922286033630371,12.442793083,
