d,T,K,u,time_simu
1.0,0.2,10.0,1.1370193549707202,0.033511641
1.0,0.2,10.0,1.1370323633109947,0.034310949
1.0,0.2,10.0,1.1363689913832804,0.04482117
1.0,0.2,10.0,1.1365831985497459,0.041624944
1.0,0.2,10.0,1.1366856893785846,0.041384476
2.0,0.2,10.0,1.1693558660070789,0.04600228
2.0,0.2,10.0,1.1680587839762953,0.048095044
2.0,0.2,10.0,1.1686423454152743,0.045507124
2.0,0.2,10.0,1.168502657556472,0.051407155
2.0,0.2,10.0,1.1681179855206092,0.048669156
5.0,0.2,10.0,1.173987321331022,0.070218751
5.0,0.2,10.0,1.1741717367303384,0.06860844
5.0,0.2,10.0,1.174416689788106,0.073041065
5.0,0.2,10.0,1.1731365420400781,0.070600846
5.0,0.2,10.0,1.1740049829170405,0.077004986
10.0,0.2,10.0,1.1717295089227213,0.095655904
10.0,0.2,10.0,1.1718670995314566,0.078070715
10.0,0.2,10.0,1.1713345166874711,0.093631265
10.0,0.2,10.0,1.1720241451155249,0.093704557
10.0,0.2,10.0,1.1716661475667614,0.093210341
1.0,0.5,10.0,1.3534441441256477,0.032761202
1.0,0.5,10.0,1.3530115363392399,0.042020802
1.0,0.5,10.0,1.3544258451496405,0.042176163
1.0,0.5,10.0,1.3527539716082162,0.042371223
1.0,0.5,10.0,1.355167449694834,0.041704906
2.0,0.5,10.0,1.4418026408166966,0.050821568
2.0,0.5,10.0,1.4433617154680038,0.04737531
2.0,0.5,10.0,1.4416626867799152,0.047751769
2.0,0.5,10.0,1.4442457218208344,0.048116469
2.0,0.5,10.0,1.439652115011282,0.049328926
5.0,0.5,10.0,1.4591095325057364,0.070371982
5.0,0.5,10.0,1.4615141298082914,0.069873294
5.0,0.5,10.0,1.4548972299356708,0.058384561
5.0,0.5,10.0,1.459112139488067,0.058991819
5.0,0.5,10.0,1.45958068816037,0.057358145
10.0,0.5,10.0,1.4531764167183343,0.092927248
10.0,0.5,10.0,1.4551166189473568,0.089715609
10.0,0.5,10.0,1.457344625521965,0.075223715
10.0,0.5,10.0,1.448257680569788,0.081996285
10.0,0.5,10.0,1.453890688997926,0.091522668
1.0,1.0,10.0,1.7121899812368127,0.025838023
1.0,1.0,10.0,1.7114274801052778,0.041875166
1.0,1.0,10.0,1.7133851130908881,0.031746746
1.0,1.0,10.0,1.715445423427596,0.041420169
1.0,1.0,10.0,1.7118344794595455,0.044914049
2.0,1.0,10.0,1.9044737399377092,0.051275601
2.0,1.0,10.0,1.909046234210817,0.051749291
2.0,1.0,10.0,1.9043166440165282,0.04511537
2.0,1.0,10.0,1.9115546265019105,0.045990468
2.0,1.0,10.0,1.9104878505496274,0.04893401
5.0,1.0,10.0,1.9389038261691864,0.071927266
5.0,1.0,10.0,1.945544370654837,0.073279842
5.0,1.0,10.0,1.9509826698563444,0.058578985
5.0,1.0,10.0,1.9402509976943545,0.058730665
5.0,1.0,10.0,1.9431093945353888,0.070184563
10.0,1.0,10.0,1.9292647337595978,0.057832068
10.0,1.0,10.0,1.9341828067774636,0.078815991
10.0,1.0,10.0,1.9303847340385103,0.057835519
10.0,1.0,10.0,1.917145531696312,0.059476015
10.0,1.0,10.0,1.9215754504539564,0.0868791
