d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9937635064125061,14.781211991,
1.0,0.2,10.0,0.996059775352478,14.511391521,
1.0,0.2,10.0,0.992974042892456,14.516828447,
1.0,0.2,10.0,0.993776798248291,14.471344553,
1.0,0.2,10.0,0.9947400093078613,14.471158105,
2.0,0.2,10.0,0.9881517291069031,14.420218454,
2.0,0.2,10.0,0.9940303564071655,14.385801112,
2.0,0.2,10.0,0.9916958212852478,14.406442538,
2.0,0.2,10.0,0.9951220750808716,14.407369804,
2.0,0.2,10.0,0.9907087087631226,14.397930057,
5.0,0.2,10.0,1.0049434900283813,14.612648181,
5.0,0.2,10.0,1.0018024444580078,14.772228448,
5.0,0.2,10.0,0.9922200441360474,14.636623048,
5.0,0.2,10.0,1.0015511512756348,14.624141563,
5.0,0.2,10.0,0.9970760941505432,14.82457408,
10.0,0.2,10.0,0.97962486743927,14.64572877,
10.0,0.2,10.0,0.9717892408370972,14.67018532,
10.0,0.2,10.0,0.9974374771118164,14.77669794,
10.0,0.2,10.0,0.9802453517913818,14.641294655,
10.0,0.2,10.0,0.9935480356216431,14.650941872,
1.0,0.5,10.0,0.9888312220573425,14.573884769,
1.0,0.5,10.0,0.9882224202156067,14.577154559,
1.0,0.5,10.0,0.9868237972259521,14.579262227,
1.0,0.5,10.0,0.9868472814559937,14.559426609,
1.0,0.5,10.0,0.9864858388900757,14.506245047,
2.0,0.5,10.0,0.9770240783691406,14.481859486,
2.0,0.5,10.0,0.9782626628875732,14.46708505,
2.0,0.5,10.0,0.9761171340942383,14.438833489,
2.0,0.5,10.0,0.9739810228347778,14.464430146,
2.0,0.5,10.0,0.9746523499488831,14.370464095,
5.0,0.5,10.0,0.9585233926773071,14.846572957,
5.0,0.5,10.0,0.9548009634017944,14.679593685,
5.0,0.5,10.0,0.9476273059844971,14.70805935,
5.0,0.5,10.0,0.9531384706497192,14.727631618,
5.0,0.5,10.0,0.9481523036956787,14.844978219,
10.0,0.5,10.0,0.9268465042114258,14.688258927,
10.0,0.5,10.0,0.9273572564125061,14.692797877,
10.0,0.5,10.0,0.9174233078956604,14.815138582,
10.0,0.5,10.0,0.9261264801025391,14.640514966,
10.0,0.5,10.0,0.9237610101699829,14.684276057,
1.0,1.0,10.0,0.9825834035873413,14.622952463,
1.0,1.0,10.0,0.9822322726249695,14.632827825,
1.0,1.0,10.0,0.9823161959648132,14.45276724,
1.0,1.0,10.0,0.9825744032859802,14.588255055,
1.0,1.0,10.0,0.9822806715965271,14.623700901,
2.0,1.0,10.0,0.9660550355911255,14.411333104,
2.0,1.0,10.0,0.9626312255859375,14.534256027,
2.0,1.0,10.0,0.9648298621177673,14.508137863,
2.0,1.0,10.0,0.9659380316734314,14.530000706,
2.0,1.0,10.0,0.9658642411231995,14.416264055,
5.0,1.0,10.0,0.9225625395774841,14.923989767,
5.0,1.0,10.0,0.9228051900863647,14.786648692,
5.0,1.0,10.0,0.9225224256515503,14.809680514,
5.0,1.0,10.0,0.9224748611450195,14.736594218,
5.0,1.0,10.0,0.9210352897644043,14.772836766,
10.0,1.0,10.0,0.8702079653739929,14.738451363,
10.0,1.0,10.0,0.8622705340385437,14.894981246,
10.0,1.0,10.0,0.8636613488197327,14.767502012,
10.0,1.0,10.0,0.857448160648346,14.751803719,
10.0,1.0,10.0,0.8581409454345703,14.889222511,
