d,T,K,u,time_simu
1.0,0.2,10.0,0.9935079702355734,0.087084705
1.0,0.2,10.0,0.9932857708188668,0.09730818
1.0,0.2,10.0,0.9934564159847787,0.093385708
1.0,0.2,10.0,0.9933365228454203,0.102448447
1.0,0.2,10.0,0.9928092000036902,0.101256125
2.0,0.2,10.0,0.9864210650822992,0.120250881
2.0,0.2,10.0,0.9863210826409204,0.10673993
2.0,0.2,10.0,0.9871304523443608,0.106269684
2.0,0.2,10.0,0.9877951434696691,0.095495313
2.0,0.2,10.0,0.9868203270514948,0.080834505
5.0,0.2,10.0,0.970454260463987,0.107751087
5.0,0.2,10.0,0.9711379186895192,0.128736129
5.0,0.2,10.0,0.9707123355798081,0.108861338
5.0,0.2,10.0,0.9713192676521291,0.12372144
5.0,0.2,10.0,0.9715634114621777,0.107835345
10.0,0.2,10.0,0.951203681800034,0.148269205
10.0,0.2,10.0,0.9513686850919691,0.150332561
10.0,0.2,10.0,0.9520324312794474,0.145217
10.0,0.2,10.0,0.9513025583644312,0.131123247
10.0,0.2,10.0,0.9519856868650125,0.120184165
1.0,0.5,10.0,0.9853855575900252,0.088230039
1.0,0.5,10.0,0.9819846799920425,0.070577516
1.0,0.5,10.0,0.9864479353686917,0.097280643
1.0,0.5,10.0,0.9893973288188848,0.114594479
1.0,0.5,10.0,0.9861842433318135,0.102477429
2.0,0.5,10.0,0.9733168436497264,0.110502336
2.0,0.5,10.0,0.9746056436713535,0.095326045
2.0,0.5,10.0,0.9722258359560683,0.094873087
2.0,0.5,10.0,0.9634816065950158,0.095853886
2.0,0.5,10.0,0.9817009311141252,0.121462108
5.0,0.5,10.0,0.9464756417202577,0.116348046
5.0,0.5,10.0,0.9450062038450018,0.103322006
5.0,0.5,10.0,0.9406699364296955,0.114801403
5.0,0.5,10.0,0.9519573226436865,0.10935781
5.0,0.5,10.0,0.9451016808012118,0.104429527
10.0,0.5,10.0,0.9121673486947606,0.120997038
10.0,0.5,10.0,0.8993044336932832,0.145813075
10.0,0.5,10.0,0.9034900118065092,0.123604173
10.0,0.5,10.0,0.9082025243769472,0.140293824
10.0,0.5,10.0,0.9049471799577871,0.14195731
1.0,1.0,10.0,0.9731487480677928,0.072041038
1.0,1.0,10.0,0.9665385689276048,0.100543155
1.0,1.0,10.0,0.9428464030051216,0.100926224
1.0,1.0,10.0,1.002393955402622,0.099937848
1.0,1.0,10.0,0.9818510927931894,0.099766699
2.0,1.0,10.0,0.9587070681680436,0.106045782
2.0,1.0,10.0,0.9323932631435927,0.104573378
2.0,1.0,10.0,0.9778280064287165,0.109505664
2.0,1.0,10.0,0.9356332651476796,0.109846634
2.0,1.0,10.0,0.974164378859451,0.110088103
5.0,1.0,10.0,0.9396816460879682,0.117097894
5.0,1.0,10.0,0.9348306151439301,0.10840887
5.0,1.0,10.0,0.97136841615662,0.103986243
5.0,1.0,10.0,0.9564246483311626,0.090416083
5.0,1.0,10.0,0.9463828076163294,0.106043159
10.0,1.0,10.0,0.8812555381889486,0.146336865
10.0,1.0,10.0,0.882876798442464,0.131567899
10.0,1.0,10.0,0.8616728851662206,0.147226374
10.0,1.0,10.0,0.883639710773798,0.13833547
10.0,1.0,10.0,0.8896305868261885,0.137724523
