d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9995951056480408,12.08583641,
1.0,0.2,10.0,0.999586284160614,12.068900788,
1.0,0.2,10.0,0.9995900988578796,12.00222411,
1.0,0.2,10.0,0.9996060729026794,12.133787767,
1.0,0.2,10.0,0.9996001124382019,12.135361568,
2.0,0.2,10.0,0.9991723895072937,12.647501002,
2.0,0.2,10.0,0.9991783499717712,12.678629404,
2.0,0.2,10.0,0.9991766810417175,12.675886556,
2.0,0.2,10.0,0.9991742968559265,12.583845606,
2.0,0.2,10.0,0.9991888403892517,12.614260339,
5.0,0.2,10.0,0.9979497194290161,12.327496176,
5.0,0.2,10.0,0.9979405403137207,12.238876218,
5.0,0.2,10.0,0.9979740977287292,12.368146878,
5.0,0.2,10.0,0.9979828000068665,12.247910295,
5.0,0.2,10.0,0.9980044960975647,12.39251336,
10.0,0.2,10.0,0.9959169626235962,12.282442052,
10.0,0.2,10.0,0.9959450364112854,12.420008903,
10.0,0.2,10.0,0.9959462285041809,12.303560119,
10.0,0.2,10.0,0.9958989024162292,12.425197049,
10.0,0.2,10.0,0.9959735870361328,12.296193274,
1.0,0.5,10.0,0.9992567300796509,12.275445115,
1.0,0.5,10.0,0.9992712736129761,12.156567877,
1.0,0.5,10.0,0.9992572069168091,12.217781528,
1.0,0.5,10.0,0.9992822408676147,12.210215478,
1.0,0.5,10.0,0.9992622137069702,12.20658865,
2.0,0.5,10.0,0.9985573887825012,12.737388402,
