T,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
0.2,2.0,5.0,1000.0,15.0,3.0,-1.0,2.418821334838867,3.525759923,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,-1.0,2.423732042312622,3.54293641,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,-1.0,2.426929235458374,3.625904618,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,-1.0,2.4141740798950195,3.58279488,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,-1.0,2.413229465484619,3.572583671,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,0.0,16.385276794433594,12.195379042,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,0.0,16.380388259887695,4.387121018,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,0.0,16.372079849243164,4.396403629,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,0.0,16.369123458862305,4.508523967,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,0.0,16.375614166259766,4.390024914,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,1.0,16.38221549987793,7.392500439,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,1.0,16.367353439331055,5.128039178,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,1.0,16.346599578857422,5.245489497,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,1.0,16.356416702270508,5.132862518,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,1.0,16.36540985107422,5.166541262,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,2.0,16.360687255859375,8.36080664,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,2.0,16.368074417114258,6.017637742,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,2.0,16.371150970458984,5.887287561,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,2.0,16.348657608032227,6.004247043,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,2.0,16.39253044128418,5.8981606,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,3.0,16.377309799194336,9.462789722,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,3.0,16.35165023803711,6.724440136,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,3.0,16.41837501525879,6.62966373,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,3.0,16.3790225982666,6.778820719,16.801556694196968
0.2,2.0,5.0,1000.0,15.0,3.0,3.0,16.37367820739746,6.641177293,16.801556694196968
