T,U,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
0.2,1.0,2.0,5.0,50.0,15.0,1.0,1.0,7.531283855438232,20.066588879,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,1.0,1.0,7.749823093414307,19.896267637,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,1.0,1.0,6.211812496185303,20.090592444,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,1.0,1.0,6.632094860076904,19.949769065,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,1.0,1.0,6.644008159637451,19.929859219,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,2.0,1.0,9.271032333374023,20.467169764,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,2.0,1.0,6.28640079498291,20.484863243,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,2.0,1.0,9.109318733215332,20.475885226,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,2.0,1.0,2.749847173690796,20.498275497,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,2.0,1.0,3.8948354721069336,20.510403934,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,3.0,1.0,8.660706520080566,20.332601291,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,3.0,1.0,5.991253852844238,20.471572614,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,3.0,1.0,3.5665600299835205,20.499986854,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,3.0,1.0,3.862356662750244,20.499778424,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,3.0,1.0,3.634556770324707,20.486598779,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,4.0,1.0,7.843630313873291,20.629771841,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,4.0,1.0,4.559272766113281,20.641661447,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,4.0,1.0,7.688558578491211,20.626448656,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,4.0,1.0,4.207951068878174,20.632249986,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,4.0,1.0,5.344682693481445,20.662913155,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,5.0,1.0,7.95364236831665,20.649293886,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,5.0,1.0,7.564571857452393,20.498727673,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,5.0,1.0,10.003921508789062,20.501891652,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,5.0,1.0,5.51542329788208,20.659054578,16.801556694196968
0.2,1.0,2.0,5.0,50.0,15.0,5.0,1.0,7.4049811363220215,20.654897942,16.801556694196968
