T,U,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
0.2,1.0,2.0,5.0,10.0,15.0,3.0,1.0,1.367019534111023,20.184520766,16.801556694196968
0.2,1.0,2.0,5.0,10.0,15.0,3.0,1.0,0.2551769018173218,20.194600741,16.801556694196968
0.2,1.0,2.0,5.0,10.0,15.0,3.0,1.0,0.5966898202896118,20.224059696,16.801556694196968
0.2,1.0,2.0,5.0,10.0,15.0,3.0,1.0,0.7770561575889587,20.238970712,16.801556694196968
0.2,1.0,2.0,5.0,10.0,15.0,3.0,1.0,0.4503197968006134,20.214460112,16.801556694196968
0.2,1.0,2.0,5.0,100.0,15.0,3.0,1.0,9.92834758758545,20.501208549,16.801556694196968
0.2,1.0,2.0,5.0,100.0,15.0,3.0,1.0,11.046100616455078,20.493036075,16.801556694196968
0.2,1.0,2.0,5.0,100.0,15.0,3.0,1.0,12.368993759155273,20.480202477,16.801556694196968
0.2,1.0,2.0,5.0,100.0,15.0,3.0,1.0,9.062253952026367,20.503119567,16.801556694196968
0.2,1.0,2.0,5.0,100.0,15.0,3.0,1.0,8.455645561218262,20.521672508,16.801556694196968
0.2,1.0,2.0,5.0,1000.0,15.0,3.0,1.0,14.992133140563965,21.427241758,16.801556694196968
0.2,1.0,2.0,5.0,1000.0,15.0,3.0,1.0,15.04177474975586,21.257016764,16.801556694196968
0.2,1.0,2.0,5.0,1000.0,15.0,3.0,1.0,14.889871597290039,21.433475358,16.801556694196968
0.2,1.0,2.0,5.0,1000.0,15.0,3.0,1.0,14.743453025817871,21.262835601,16.801556694196968
0.2,1.0,2.0,5.0,1000.0,15.0,3.0,1.0,13.042224884033203,21.425514674,16.801556694196968
0.2,1.0,2.0,5.0,10000.0,15.0,3.0,1.0,14.970162391662598,23.866938112,16.801556694196968
0.2,1.0,2.0,5.0,10000.0,15.0,3.0,1.0,15.093206405639648,23.875816677,16.801556694196968
0.2,1.0,2.0,5.0,10000.0,15.0,3.0,1.0,15.850942611694336,23.99194154,16.801556694196968
0.2,1.0,2.0,5.0,10000.0,15.0,3.0,1.0,14.78195571899414,23.860467391,16.801556694196968
0.2,1.0,2.0,5.0,10000.0,15.0,3.0,1.0,15.658392906188965,24.02566255,16.801556694196968
