T,U,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
0.2,1.0,2.0,5.0,8000.0,1.0,3.0,1.0,0.04520188644528389,22.453838357,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,1.0,3.0,1.0,0.04373838007450104,22.494726028,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,1.0,3.0,1.0,0.0413118377327919,22.65132149,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,1.0,3.0,1.0,0.042254962027072906,22.47063144,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,1.0,3.0,1.0,0.045099399983882904,22.673364781,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,6.0,3.0,1.0,10.331086158752441,23.592576474,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,6.0,3.0,1.0,8.830727577209473,23.525099204,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,6.0,3.0,1.0,10.840264320373535,23.703479307,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,6.0,3.0,1.0,6.721273899078369,23.571115934,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,6.0,3.0,1.0,8.538021087646484,23.586929592,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,11.0,3.0,1.0,14.068111419677734,24.066250541,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,11.0,3.0,1.0,14.703060150146484,24.065582993,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,11.0,3.0,1.0,14.249505996704102,24.216767101,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,11.0,3.0,1.0,14.978063583374023,24.05248228,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,11.0,3.0,1.0,14.715524673461914,24.049062757,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,16.0,3.0,1.0,15.730570793151855,24.299048757,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,16.0,3.0,1.0,14.795134544372559,24.178529062,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,16.0,3.0,1.0,15.310870170593262,24.155167396,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,16.0,3.0,1.0,14.9816312789917,24.331442656,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,16.0,3.0,1.0,15.766733169555664,24.18759728,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,21.0,3.0,1.0,15.585676193237305,23.5484933,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,21.0,3.0,1.0,15.674819946289062,23.412413114,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,21.0,3.0,1.0,15.501371383666992,23.412040361,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,21.0,3.0,1.0,15.427445411682129,23.522850004,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,21.0,3.0,1.0,16.09034538269043,23.393386426,16.801556694196968
