T,U,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,-1.0,0.03106226958334446,19.777739061,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,-1.0,0.03099554032087326,15.769218198,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,-1.0,0.031672559678554535,15.749410183,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,-1.0,0.030887676402926445,15.754075964,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,-1.0,0.030481837689876556,15.79450687,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,0.0,3.3785195350646973,21.402482382,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,0.0,3.7056639194488525,19.633914229,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,0.0,4.232650279998779,19.642060432,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,0.0,3.375690460205078,19.663786598,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,0.0,3.963749885559082,19.607574853,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,1.0,15.213125228881836,23.938608233,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,1.0,15.342412948608398,24.081593487,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,1.0,14.246885299682617,23.926577655,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,1.0,15.033217430114746,24.116397468,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,1.0,14.964268684387207,24.098073793,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,2.0,14.184408187866211,31.00464611,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,2.0,14.434274673461914,28.567217794,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,2.0,14.707792282104492,28.489776981,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,2.0,14.2472505569458,28.725007069,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,2.0,14.433801651000977,28.512617908,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,3.0,13.530351638793945,35.763176305,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,3.0,13.15339469909668,33.034764346,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,3.0,13.674396514892578,33.070851902,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,3.0,13.199310302734375,33.036217827,16.801556694196968
0.2,1.0,2.0,5.0,8000.0,15.0,3.0,3.0,13.632722854614258,33.054779656,16.801556694196968
