T,M,d,K,L,u,time simu,ref_value
0.5,1.0,5.0,5.0,1.0,15.064709534655366,0.00017894,15.153515465455879
0.5,1.0,5.0,5.0,1.0,14.759101274520425,0.000203151,15.153515465455879
0.5,1.0,5.0,5.0,1.0,16.090432954148582,0.00017296,15.153515465455879
0.5,1.0,5.0,5.0,1.0,13.971350034353746,7.055e-5,15.153515465455879
0.5,1.0,5.0,5.0,1.0,11.983664530143958,5.434e-5,15.153515465455879
0.5,2.0,5.0,5.0,2.0,15.672698347705516,0.00026516,15.153515465455879
0.5,2.0,5.0,5.0,2.0,13.82621265325464,0.00017093,15.153515465455879
0.5,2.0,5.0,5.0,2.0,12.51389222196299,0.0001771,15.153515465455879
0.5,2.0,5.0,5.0,2.0,14.446777392426467,0.00013735,15.153515465455879
0.5,2.0,5.0,5.0,2.0,12.331312560508824,0.000125331,15.153515465455879
0.5,3.0,5.0,5.0,3.0,15.358313606366401,0.004443569,15.153515465455879
0.5,3.0,5.0,5.0,3.0,14.77631028459847,0.00420721,15.153515465455879
0.5,3.0,5.0,5.0,3.0,15.529399580203176,0.00457413,15.153515465455879
0.5,3.0,5.0,5.0,3.0,14.543892039814665,0.006145371,15.153515465455879
0.5,3.0,5.0,5.0,3.0,14.573766936924992,0.00461758,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.777577067550144,0.36318154,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.898565733233193,0.349324429,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.692636115814693,0.349605258,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.892393601301345,0.348600897,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.68434601591799,0.346089357,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.83936338291413,29.96404776,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.896021466012865,29.691845466,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.92876158178496,29.768720507,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.903984122790177,29.918845492,15.153515465455879
0.5,5.0,5.0,5.0,5.0,14.82964761662944,30.134965265,15.153515465455879
