T,U,M,d,K,L,u,time simu,ref_value
0.5,1.0,5.0,5.0,1.0,5.0,15.284350792489143,0.109068489,15.153515465455879
0.5,1.0,5.0,5.0,1.0,5.0,15.38249916835588,0.33891883,15.153515465455879
0.5,1.0,5.0,5.0,1.0,5.0,15.419685046472178,0.119935896,15.153515465455879
0.5,1.0,5.0,5.0,1.0,5.0,15.207691456469702,0.886074747,15.153515465455879
0.5,1.0,5.0,5.0,1.0,5.0,15.653955195195143,0.321996255,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.062119137538415,19.140984738,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.158534651849136,18.535271551,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.178537808684275,19.261892005,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.249195319992944,19.979031805,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.125332084159849,19.237168435,15.153515465455879
