T,U,M,d,K,L,u,time simu,ref_value
0.5,1.0,1.0,5.0,5.0,1.0,10.71617329895835,0.000515919,15.153515465455879
0.5,1.0,1.0,5.0,5.0,1.0,15.079471986156419,0.000899998,15.153515465455879
0.5,1.0,1.0,5.0,5.0,1.0,12.814392811887116,0.000672078,15.153515465455879
0.5,1.0,1.0,5.0,5.0,1.0,16.93297083262966,0.003984802,15.153515465455879
0.5,1.0,1.0,5.0,5.0,1.0,16.37562669191245,0.003751573,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,13.864384315104841,0.000508469,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,13.196518458349498,0.003888152,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,12.678285362190557,0.003726573,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,16.937920132690085,0.003731663,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,22.947414796129667,0.003724533,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,17.44853868589051,0.003739942,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,17.126907581420134,0.003786593,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,16.494671599948834,0.003712882,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,19.372624673256716,0.003669513,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,14.28771881518161,0.003782732,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,15.346756888109908,0.144225045,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,15.678456719511361,0.2588024,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,14.962091915128928,0.244272828,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,15.114312841257771,0.2889866,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,14.719667804892165,0.279195119,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.114655843894461,18.368748067,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.160125613851076,18.267865501,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.051737711738408,19.799147358,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.266675411885641,18.65827007,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.396239401358372,19.998524196,15.153515465455879
