T,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
1.0,2.0,5.0,50.0,55.0,1.0,1.0,11.33653736114502,5.262888608,12.959096286561797
1.0,2.0,5.0,50.0,55.0,1.0,1.0,11.849510192871094,5.282273537,12.959096286561797
1.0,2.0,5.0,50.0,55.0,1.0,1.0,11.030994415283203,5.43243223,12.959096286561797
1.0,2.0,5.0,50.0,55.0,1.0,1.0,10.934900283813477,5.427595339,12.959096286561797
1.0,2.0,5.0,50.0,55.0,1.0,1.0,11.203980445861816,5.451941418,12.959096286561797
1.0,2.0,5.0,50.0,55.0,2.0,1.0,11.118202209472656,5.530732365,12.959096286561797
1.0,2.0,5.0,50.0,55.0,2.0,1.0,11.308721542358398,5.537578851,12.959096286561797
1.0,2.0,5.0,50.0,55.0,2.0,1.0,12.198968887329102,5.525435346,12.959096286561797
1.0,2.0,5.0,50.0,55.0,2.0,1.0,11.842740058898926,5.547112804,12.959096286561797
1.0,2.0,5.0,50.0,55.0,2.0,1.0,11.045854568481445,5.536376613,12.959096286561797
1.0,2.0,5.0,50.0,55.0,3.0,1.0,11.22530746459961,5.52975375,12.959096286561797
1.0,2.0,5.0,50.0,55.0,3.0,1.0,11.228008270263672,5.535776312,12.959096286561797
1.0,2.0,5.0,50.0,55.0,3.0,1.0,11.061197280883789,5.564603097,12.959096286561797
1.0,2.0,5.0,50.0,55.0,3.0,1.0,10.84105396270752,5.536083357,12.959096286561797
1.0,2.0,5.0,50.0,55.0,3.0,1.0,11.368509292602539,5.372039185,12.959096286561797
1.0,2.0,5.0,50.0,55.0,4.0,1.0,11.245641708374023,5.552592818,12.959096286561797
1.0,2.0,5.0,50.0,55.0,4.0,1.0,10.812487602233887,5.567459938,12.959096286561797
1.0,2.0,5.0,50.0,55.0,4.0,1.0,11.352216720581055,5.556485317,12.959096286561797
1.0,2.0,5.0,50.0,55.0,4.0,1.0,11.297869682312012,5.551852417,12.959096286561797
1.0,2.0,5.0,50.0,55.0,4.0,1.0,11.610954284667969,5.552794771,12.959096286561797
1.0,2.0,5.0,50.0,55.0,5.0,1.0,11.030515670776367,5.576961269,12.959096286561797
1.0,2.0,5.0,50.0,55.0,5.0,1.0,11.318449974060059,5.559849765,12.959096286561797
1.0,2.0,5.0,50.0,55.0,5.0,1.0,11.1873779296875,5.553892801,12.959096286561797
1.0,2.0,5.0,50.0,55.0,5.0,1.0,11.623180389404297,5.562677009,12.959096286561797
1.0,2.0,5.0,50.0,55.0,5.0,1.0,11.370631217956543,5.552539594,12.959096286561797
