T,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
1.0,1.0,5.0,10000.0,55.0,3.0,1.0,0.0,6.47173807,12.959096286561797
1.0,1.0,5.0,10000.0,55.0,3.0,1.0,0.0,2.739552753,12.959096286561797
1.0,1.0,5.0,10000.0,55.0,3.0,1.0,0.0,2.712168784,12.959096286561797
1.0,1.0,5.0,10000.0,55.0,3.0,1.0,0.0,2.802561298,12.959096286561797
1.0,1.0,5.0,10000.0,55.0,3.0,1.0,0.0,2.63609024,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.233786582946777,6.010036933,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.28441047668457,5.791512272,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.246116638183594,5.789107744,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.312095642089844,5.793247988,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.263296127319336,5.814173696,12.959096286561797
1.0,3.0,5.0,10000.0,55.0,3.0,1.0,11.304616928100586,8.891200107,12.959096286561797
1.0,3.0,5.0,10000.0,55.0,3.0,1.0,11.284732818603516,8.933633899,12.959096286561797
1.0,3.0,5.0,10000.0,55.0,3.0,1.0,11.31275749206543,8.939193804,12.959096286561797
1.0,3.0,5.0,10000.0,55.0,3.0,1.0,11.376646041870117,8.941241509,12.959096286561797
1.0,3.0,5.0,10000.0,55.0,3.0,1.0,11.307747840881348,8.959576847,12.959096286561797
1.0,4.0,5.0,10000.0,55.0,3.0,1.0,11.322677612304688,12.086544352,12.959096286561797
1.0,4.0,5.0,10000.0,55.0,3.0,1.0,11.305410385131836,12.010278944,12.959096286561797
1.0,4.0,5.0,10000.0,55.0,3.0,1.0,11.288796424865723,12.098187039,12.959096286561797
1.0,4.0,5.0,10000.0,55.0,3.0,1.0,11.300782203674316,12.148273424,12.959096286561797
1.0,4.0,5.0,10000.0,55.0,3.0,1.0,11.34412956237793,12.14931414,12.959096286561797
1.0,5.0,5.0,10000.0,55.0,3.0,1.0,11.36644458770752,15.348513668,12.959096286561797
1.0,5.0,5.0,10000.0,55.0,3.0,1.0,11.27372932434082,15.357401623,12.959096286561797
1.0,5.0,5.0,10000.0,55.0,3.0,1.0,11.333271980285645,15.282973026,12.959096286561797
1.0,5.0,5.0,10000.0,55.0,3.0,1.0,11.311516761779785,15.4213482,12.959096286561797
1.0,5.0,5.0,10000.0,55.0,3.0,1.0,11.220235824584961,15.403026013,12.959096286561797
