T,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
1.0,2.0,5.0,10.0,55.0,3.0,1.0,10.33432388305664,5.355520032,12.959096286561797
1.0,2.0,5.0,10.0,55.0,3.0,1.0,11.298715591430664,5.349148937,12.959096286561797
1.0,2.0,5.0,10.0,55.0,3.0,1.0,11.208436965942383,5.363343229,12.959096286561797
1.0,2.0,5.0,10.0,55.0,3.0,1.0,10.908620834350586,5.346311573,12.959096286561797
1.0,2.0,5.0,10.0,55.0,3.0,1.0,11.610169410705566,5.363639771,12.959096286561797
1.0,2.0,5.0,100.0,55.0,3.0,1.0,11.217073440551758,5.423895585,12.959096286561797
1.0,2.0,5.0,100.0,55.0,3.0,1.0,10.940340995788574,5.436052687,12.959096286561797
1.0,2.0,5.0,100.0,55.0,3.0,1.0,11.390447616577148,5.425074701,12.959096286561797
1.0,2.0,5.0,100.0,55.0,3.0,1.0,11.37070369720459,5.42239608,12.959096286561797
1.0,2.0,5.0,100.0,55.0,3.0,1.0,11.151839256286621,5.426030361,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.290594100952148,5.872801307,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.15005111694336,5.688245493,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.494619369506836,5.694291421,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.201703071594238,5.681216727,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.087700843811035,5.679340592,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.214866638183594,5.98030451,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.269683837890625,6.048117738,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.29201889038086,5.959583837,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.324421882629395,5.955781151,12.959096286561797
1.0,2.0,5.0,10000.0,55.0,3.0,1.0,11.252787590026855,5.962764606,12.959096286561797
1.0,2.0,5.0,100000.0,55.0,3.0,1.0,11.28333854675293,19.510395329,12.959096286561797
1.0,2.0,5.0,100000.0,55.0,3.0,1.0,11.245996475219727,18.135019277,12.959096286561797
1.0,2.0,5.0,100000.0,55.0,3.0,1.0,11.274436950683594,17.981720995,12.959096286561797
1.0,2.0,5.0,100000.0,55.0,3.0,1.0,11.261775970458984,17.955833624,12.959096286561797
1.0,2.0,5.0,100000.0,55.0,3.0,1.0,11.29595947265625,18.186255257,12.959096286561797
