T,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
1.0,2.0,5.0,1000.0,5.0,3.0,1.0,11.254693984985352,6.569914514,12.959096286561797
1.0,2.0,5.0,1000.0,5.0,3.0,1.0,11.239153861999512,6.177532619,12.959096286561797
1.0,2.0,5.0,1000.0,5.0,3.0,1.0,11.251784324645996,5.89179475,12.959096286561797
1.0,2.0,5.0,1000.0,5.0,3.0,1.0,11.279438972473145,5.845925707,12.959096286561797
1.0,2.0,5.0,1000.0,5.0,3.0,1.0,11.247760772705078,5.853704228,12.959096286561797
1.0,2.0,5.0,1000.0,20.0,3.0,1.0,11.306365966796875,5.863067393,12.959096286561797
1.0,2.0,5.0,1000.0,20.0,3.0,1.0,11.221182823181152,5.836206432,12.959096286561797
1.0,2.0,5.0,1000.0,20.0,3.0,1.0,11.21270751953125,5.85602143,12.959096286561797
1.0,2.0,5.0,1000.0,20.0,3.0,1.0,11.248197555541992,5.822896748,12.959096286561797
1.0,2.0,5.0,1000.0,20.0,3.0,1.0,11.314844131469727,5.846502278,12.959096286561797
1.0,2.0,5.0,1000.0,35.0,3.0,1.0,11.278863906860352,5.831449624,12.959096286561797
1.0,2.0,5.0,1000.0,35.0,3.0,1.0,11.330037117004395,5.835431073,12.959096286561797
1.0,2.0,5.0,1000.0,35.0,3.0,1.0,11.357294082641602,5.817975401,12.959096286561797
1.0,2.0,5.0,1000.0,35.0,3.0,1.0,11.30955696105957,5.820643795,12.959096286561797
1.0,2.0,5.0,1000.0,35.0,3.0,1.0,11.250797271728516,5.814655431,12.959096286561797
1.0,2.0,5.0,1000.0,50.0,3.0,1.0,11.190081596374512,5.884831339,12.959096286561797
1.0,2.0,5.0,1000.0,50.0,3.0,1.0,11.11113166809082,5.839163304,12.959096286561797
1.0,2.0,5.0,1000.0,50.0,3.0,1.0,11.453912734985352,5.866420647,12.959096286561797
1.0,2.0,5.0,1000.0,50.0,3.0,1.0,11.40157413482666,5.823329312,12.959096286561797
1.0,2.0,5.0,1000.0,50.0,3.0,1.0,11.495781898498535,5.860086412,12.959096286561797
1.0,2.0,5.0,1000.0,65.0,3.0,1.0,11.309976577758789,5.81393159,12.959096286561797
1.0,2.0,5.0,1000.0,65.0,3.0,1.0,11.21814250946045,5.825835624,12.959096286561797
1.0,2.0,5.0,1000.0,65.0,3.0,1.0,11.349048614501953,5.819333272,12.959096286561797
1.0,2.0,5.0,1000.0,65.0,3.0,1.0,11.42370319366455,6.020400831,12.959096286561797
1.0,2.0,5.0,1000.0,65.0,3.0,1.0,11.423138618469238,5.817023108,12.959096286561797
