T,U,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
1.0,1.0,1.0,5.0,8000.0,55.0,3.0,1.0,11.529863357543945,10.060335235,12.959096286561797
1.0,1.0,1.0,5.0,8000.0,55.0,3.0,1.0,11.422514915466309,10.108586859,12.959096286561797
1.0,1.0,1.0,5.0,8000.0,55.0,3.0,1.0,10.924944877624512,10.137544637,12.959096286561797
1.0,1.0,1.0,5.0,8000.0,55.0,3.0,1.0,11.603363990783691,10.127278115,12.959096286561797
1.0,1.0,1.0,5.0,8000.0,55.0,3.0,1.0,11.156824111938477,10.293657237,12.959096286561797
1.0,1.0,2.0,5.0,8000.0,55.0,3.0,1.0,11.799229621887207,23.754621614,12.959096286561797
1.0,1.0,2.0,5.0,8000.0,55.0,3.0,1.0,12.334609985351562,21.937642752,12.959096286561797
1.0,1.0,2.0,5.0,8000.0,55.0,3.0,1.0,11.456191062927246,21.970971869,12.959096286561797
1.0,1.0,2.0,5.0,8000.0,55.0,3.0,1.0,13.487502098083496,22.084728989,12.959096286561797
1.0,1.0,2.0,5.0,8000.0,55.0,3.0,1.0,12.406011581420898,22.054761035,12.959096286561797
1.0,1.0,3.0,5.0,8000.0,55.0,3.0,1.0,12.999226570129395,33.812302997,12.959096286561797
1.0,1.0,3.0,5.0,8000.0,55.0,3.0,1.0,13.244449615478516,34.117171497,12.959096286561797
1.0,1.0,3.0,5.0,8000.0,55.0,3.0,1.0,13.279900550842285,34.174578203,12.959096286561797
1.0,1.0,3.0,5.0,8000.0,55.0,3.0,1.0,12.317922592163086,34.187340697,12.959096286561797
1.0,1.0,3.0,5.0,8000.0,55.0,3.0,1.0,12.561971664428711,34.364871076,12.959096286561797
1.0,1.0,4.0,5.0,8000.0,55.0,3.0,1.0,12.334819793701172,46.372898323,12.959096286561797
1.0,1.0,4.0,5.0,8000.0,55.0,3.0,1.0,12.7199068069458,46.380082088,12.959096286561797
1.0,1.0,4.0,5.0,8000.0,55.0,3.0,1.0,11.641642570495605,46.616459767,12.959096286561797
1.0,1.0,4.0,5.0,8000.0,55.0,3.0,1.0,12.716245651245117,46.608488902,12.959096286561797
1.0,1.0,4.0,5.0,8000.0,55.0,3.0,1.0,12.218505859375,46.63928408,12.959096286561797
1.0,1.0,5.0,5.0,8000.0,55.0,3.0,1.0,12.517021179199219,58.718495531,12.959096286561797
1.0,1.0,5.0,5.0,8000.0,55.0,3.0,1.0,13.359720230102539,58.770279777,12.959096286561797
1.0,1.0,5.0,5.0,8000.0,55.0,3.0,1.0,13.315051078796387,58.832124224,12.959096286561797
1.0,1.0,5.0,5.0,8000.0,55.0,3.0,1.0,12.359251976013184,58.899204996,12.959096286561797
1.0,1.0,5.0,5.0,8000.0,55.0,3.0,1.0,12.641345024108887,58.939668145,12.959096286561797
