T,U,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
1.0,1.0,1.0,5.0,10000.0,55.0,5.0,1.0,11.675980567932129,9.976619994,12.959096286561797
1.0,1.0,1.0,5.0,10000.0,55.0,5.0,1.0,11.16334056854248,9.953309668,12.959096286561797
1.0,1.0,1.0,5.0,10000.0,55.0,5.0,1.0,11.326013565063477,9.989267646,12.959096286561797
1.0,1.0,1.0,5.0,10000.0,55.0,5.0,1.0,11.035018920898438,10.020885112,12.959096286561797
1.0,1.0,1.0,5.0,10000.0,55.0,5.0,1.0,11.329672813415527,10.08527361,12.959096286561797
1.0,1.0,2.0,5.0,10000.0,55.0,5.0,1.0,12.27509880065918,23.860272201,12.959096286561797
1.0,1.0,2.0,5.0,10000.0,55.0,5.0,1.0,12.486998558044434,21.756638028,12.959096286561797
1.0,1.0,2.0,5.0,10000.0,55.0,5.0,1.0,12.732023239135742,21.837438463,12.959096286561797
1.0,1.0,2.0,5.0,10000.0,55.0,5.0,1.0,12.516083717346191,21.886375841,12.959096286561797
1.0,1.0,2.0,5.0,10000.0,55.0,5.0,1.0,12.892562866210938,21.987888112,12.959096286561797
1.0,1.0,3.0,5.0,10000.0,55.0,5.0,1.0,13.316307067871094,33.779703134,12.959096286561797
1.0,1.0,3.0,5.0,10000.0,55.0,5.0,1.0,12.736586570739746,33.801137468,12.959096286561797
1.0,1.0,3.0,5.0,10000.0,55.0,5.0,1.0,11.452406883239746,33.903283881,12.959096286561797
1.0,1.0,3.0,5.0,10000.0,55.0,5.0,1.0,12.603775978088379,34.094589914,12.959096286561797
1.0,1.0,3.0,5.0,10000.0,55.0,5.0,1.0,12.492673873901367,34.215246239,12.959096286561797
1.0,1.0,4.0,5.0,10000.0,55.0,5.0,1.0,13.677152633666992,46.315770057,12.959096286561797
1.0,1.0,4.0,5.0,10000.0,55.0,5.0,1.0,11.68424129486084,46.356608109,12.959096286561797
1.0,1.0,4.0,5.0,10000.0,55.0,5.0,1.0,13.205557823181152,46.486417242,12.959096286561797
