T,U,M,d,K,L,u,time simu,ref_value
0.2,1.0,1.0,5.0,5.0,1.0,16.29369016034425,0.001136975,16.801557337972937
0.2,1.0,1.0,5.0,5.0,1.0,17.26990894717685,0.000570728,16.801557337972937
0.2,1.0,1.0,5.0,5.0,1.0,15.916707730539251,0.000603038,16.801557337972937
0.2,1.0,1.0,5.0,5.0,1.0,16.767351338585453,0.003522446,16.801557337972937
0.2,1.0,1.0,5.0,5.0,1.0,16.49590461524274,0.003389017,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,16.56085176387654,0.001179925,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,17.29495365824425,0.005445359,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,16.58302764718145,0.000579468,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,16.240612867006753,0.003636836,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,17.22773365276606,0.003469087,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,17.658833218203405,0.003926474,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,16.348146829353276,0.003808425,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,16.374685463547774,0.003853806,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,16.297472452269922,0.003957644,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,16.224267255465023,0.003872485,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.730519174449142,0.138228011,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.562941059371067,0.26144625,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.59910065244925,0.244670075,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.75213692752596,0.28680846,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.888221848246133,0.255264053,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.821135976047906,20.73422446,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.76672687768511,17.588020094,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.799118060061577,21.614535988,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.784964987753042,19.311694581,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.837774272633823,21.202395973,16.801557337972937
0.2,1.0,6.0,5.0,5.0,6.0,16.807286187672407,2117.718905851,16.801557337972937
0.2,1.0,6.0,5.0,5.0,6.0,16.801451258232216,2115.197174458,16.801557337972937
0.2,1.0,6.0,5.0,5.0,6.0,16.788898181516863,2145.69524356,16.801557337972937
0.2,1.0,6.0,5.0,5.0,6.0,16.80148402551199,2052.548986059,16.801557337972937
0.2,1.0,6.0,5.0,5.0,6.0,16.829557521550356,2007.503552404,16.801557337972937
