T,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
1.0,1.0,5.0,10.0,10.0,3.0,1.0,0.0,2.340147368,12.959096286561797
1.0,1.0,5.0,10.0,10.0,3.0,1.0,0.0,2.459502851,12.959096286561797
1.0,1.0,5.0,10.0,10.0,3.0,1.0,0.0,2.476481568,12.959096286561797
1.0,1.0,5.0,10.0,10.0,3.0,1.0,0.0,2.548525061,12.959096286561797
1.0,1.0,5.0,10.0,10.0,3.0,1.0,0.0,2.43313852,12.959096286561797
1.0,2.0,5.0,100.0,20.0,3.0,1.0,11.22478199005127,9.22132741,12.959096286561797
1.0,2.0,5.0,100.0,20.0,3.0,1.0,11.323521614074707,5.252927751,12.959096286561797
1.0,2.0,5.0,100.0,20.0,3.0,1.0,11.215143203735352,5.264575316,12.959096286561797
1.0,2.0,5.0,100.0,20.0,3.0,1.0,11.033032417297363,5.138725454,12.959096286561797
1.0,2.0,5.0,100.0,20.0,3.0,1.0,10.997519493103027,5.255321789,12.959096286561797
1.0,3.0,5.0,1000.0,30.0,3.0,1.0,11.265064239501953,8.144721902,12.959096286561797
1.0,3.0,5.0,1000.0,30.0,3.0,1.0,11.079111099243164,8.204287547,12.959096286561797
1.0,3.0,5.0,1000.0,30.0,3.0,1.0,11.286931991577148,8.222778215,12.959096286561797
1.0,3.0,5.0,1000.0,30.0,3.0,1.0,11.393010139465332,8.259696248,12.959096286561797
1.0,3.0,5.0,1000.0,30.0,3.0,1.0,11.267362594604492,8.10197721,12.959096286561797
1.0,4.0,5.0,10000.0,40.0,3.0,1.0,11.311824798583984,13.196559087,12.959096286561797
1.0,4.0,5.0,10000.0,40.0,3.0,1.0,11.317852020263672,12.818798942,12.959096286561797
1.0,4.0,5.0,10000.0,40.0,3.0,1.0,11.29733943939209,12.818028602,12.959096286561797
1.0,4.0,5.0,10000.0,40.0,3.0,1.0,11.31480884552002,12.817588478,12.959096286561797
1.0,4.0,5.0,10000.0,40.0,3.0,1.0,11.311081886291504,12.829084518,12.959096286561797
