d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.755043625831604,31.488491762,1.758206593371606
1.0,0.2,10.0,1.7473562955856323,30.429176713,1.758206593371606
1.0,0.2,10.0,1.750844955444336,30.453390222,1.758206593371606
1.0,0.2,10.0,1.7498170137405396,30.6884644,1.758206593371606
1.0,0.2,10.0,1.7493704557418823,30.518076109,1.758206593371606
2.0,0.2,10.0,3.0560696125030518,31.646885306,3.0912904249753876
2.0,0.2,10.0,3.0624682903289795,31.57726402,3.0912904249753876
2.0,0.2,10.0,3.0603621006011963,31.519521596,3.0912904249753876
2.0,0.2,10.0,3.0634710788726807,31.786956645,3.0912904249753876
2.0,0.2,10.0,3.061309337615967,31.630642292,3.0912904249753876
5.0,0.2,10.0,16.380895614624023,31.138372655,16.801556694196968
5.0,0.2,10.0,16.39888572692871,31.348434469,16.801556694196968
5.0,0.2,10.0,16.363618850708008,31.299464493,16.801556694196968
5.0,0.2,10.0,16.385515213012695,31.333176447,16.801556694196968
5.0,0.2,10.0,16.382068634033203,31.28112002,16.801556694196968
10.0,0.2,10.0,268.2875061035156,31.44161681,282.29230734831486
10.0,0.2,10.0,268.2846374511719,31.320239504,282.29230734831486
10.0,0.2,10.0,268.2115173339844,31.468382246,282.29230734831486
10.0,0.2,10.0,268.1602478027344,31.575436956,282.29230734831486
10.0,0.2,10.0,268.4383544921875,31.386990418,282.29230734831486
1.0,0.5,10.0,1.7006150484085083,32.291539725,1.722275707108827
1.0,0.5,10.0,1.6988544464111328,32.046412206,1.722275707108827
1.0,0.5,10.0,1.699315071105957,31.825967764,1.722275707108827
1.0,0.5,10.0,1.7024035453796387,31.247323979,1.722275707108827
1.0,0.5,10.0,1.700179100036621,31.208446114,1.722275707108827
2.0,0.5,10.0,2.8808741569519043,32.035623031,2.96623361129721
2.0,0.5,10.0,2.896601676940918,32.039306497,2.96623361129721
2.0,0.5,10.0,2.914296865463257,31.983929969,2.96623361129721
2.0,0.5,10.0,2.8957016468048096,32.039870346,2.96623361129721
2.0,0.5,10.0,2.8907086849212646,32.108345158,2.96623361129721
5.0,0.5,10.0,14.199064254760742,31.484071206,15.153514863482872
5.0,0.5,10.0,14.199787139892578,31.685800808,15.153514863482872
5.0,0.5,10.0,14.228057861328125,31.497104511,15.153514863482872
5.0,0.5,10.0,14.195767402648926,31.614803269,15.153514863482872
5.0,0.5,10.0,14.197848320007324,31.852896589,15.153514863482872
10.0,0.5,10.0,201.53109741210938,32.318373762,229.62901271779626
10.0,0.5,10.0,201.16775512695312,32.124155047,229.62901271779626
10.0,0.5,10.0,201.0175018310547,31.769726281,229.62901271779626
10.0,0.5,10.0,201.55374145507812,31.846152059,229.62901271779626
10.0,0.5,10.0,201.68505859375,31.823292381,229.62901271779626
1.0,1.0,10.0,1.6326183080673218,31.472437005,1.66922524144644
1.0,1.0,10.0,1.634918451309204,31.552903939,1.66922524144644
1.0,1.0,10.0,1.61959707736969,31.357425062,1.66922524144644
1.0,1.0,10.0,1.620172381401062,31.497238141,1.66922524144644
1.0,1.0,10.0,1.638327956199646,31.393564203,1.66922524144644
2.0,1.0,10.0,2.6426069736480713,32.349289602,2.7863129066819248
2.0,1.0,10.0,2.6443352699279785,32.270160052,2.7863129066819248
2.0,1.0,10.0,2.6623027324676514,32.29334421,2.7863129066819248
2.0,1.0,10.0,2.647768497467041,32.131910753,2.7863129066819248
2.0,1.0,10.0,2.6380488872528076,32.338503435,2.7863129066819248
5.0,1.0,10.0,11.275243759155273,31.873940558,12.959096286561797
5.0,1.0,10.0,11.416486740112305,31.815657575,12.959096286561797
5.0,1.0,10.0,11.354517936706543,31.949298111,12.959096286561797
5.0,1.0,10.0,11.318326950073242,31.800602883,12.959096286561797
5.0,1.0,10.0,11.265727996826172,31.995269365,12.959096286561797
10.0,1.0,10.0,128.88893127441406,31.846375808,167.93817656437977
10.0,1.0,10.0,128.39369201660156,31.862715783,167.93817656437977
10.0,1.0,10.0,127.81612396240234,31.847718371,167.93817656437977
10.0,1.0,10.0,127.84564208984375,31.883232865,167.93817656437977
10.0,1.0,10.0,128.3030548095703,31.911958128,167.93817656437977
