T,U,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
0.2,1.0,1.0,5.0,10.0,10.0,5.0,1.0,0.255755752325058,8.830294086,16.801556694196968
0.2,1.0,1.0,5.0,10.0,10.0,5.0,1.0,0.25926288962364197,8.831796296,16.801556694196968
0.2,1.0,1.0,5.0,10.0,10.0,5.0,1.0,0.7132260799407959,8.861880556,16.801556694196968
0.2,1.0,1.0,5.0,10.0,10.0,5.0,1.0,0.5336085557937622,8.883204739,16.801556694196968
0.2,1.0,1.0,5.0,10.0,10.0,5.0,1.0,0.6305558681488037,8.798485689,16.801556694196968
0.2,1.0,2.0,5.0,100.0,20.0,5.0,1.0,7.873193264007568,22.165580321,16.801556694196968
0.2,1.0,2.0,5.0,100.0,20.0,5.0,1.0,11.105568885803223,18.669468959,16.801556694196968
0.2,1.0,2.0,5.0,100.0,20.0,5.0,1.0,11.890564918518066,18.616569103,16.801556694196968
0.2,1.0,2.0,5.0,100.0,20.0,5.0,1.0,12.723716735839844,18.586858941,16.801556694196968
0.2,1.0,2.0,5.0,100.0,20.0,5.0,1.0,10.826339721679688,18.616306312,16.801556694196968
0.2,1.0,3.0,5.0,1000.0,30.0,5.0,1.0,13.12987232208252,29.457809554,16.801556694196968
0.2,1.0,3.0,5.0,1000.0,30.0,5.0,1.0,14.155404090881348,29.364006163,16.801556694196968
0.2,1.0,3.0,5.0,1000.0,30.0,5.0,1.0,14.730897903442383,29.511736242,16.801556694196968
0.2,1.0,3.0,5.0,1000.0,30.0,5.0,1.0,13.745396614074707,29.774388179,16.801556694196968
0.2,1.0,3.0,5.0,1000.0,30.0,5.0,1.0,14.159140586853027,29.760088248,16.801556694196968
0.2,1.0,4.0,5.0,10000.0,40.0,5.0,1.0,16.077919006347656,47.122275948,16.801556694196968
0.2,1.0,4.0,5.0,10000.0,40.0,5.0,1.0,15.678690910339355,47.027813065,16.801556694196968
0.2,1.0,4.0,5.0,10000.0,40.0,5.0,1.0,15.221076965332031,47.13508363,16.801556694196968
0.2,1.0,4.0,5.0,10000.0,40.0,5.0,1.0,16.28116226196289,47.218590436,16.801556694196968
0.2,1.0,4.0,5.0,10000.0,40.0,5.0,1.0,15.574856758117676,47.390906067,16.801556694196968
