d,T,N,L2,time_simu
1.0,0.1,10.0,0.0031648682163172687,55.773497579
1.0,0.1,10.0,0.004789245014675408,55.89938478
1.0,0.1,10.0,0.006648296556745886,56.24789403
1.0,0.1,10.0,0.0036867865309581564,56.376686073
1.0,0.1,10.0,0.0060530835178692274,56.421624252
2.0,0.1,10.0,0.011407482178918906,58.372737382
2.0,0.1,10.0,0.013242507227270581,58.298073996
2.0,0.1,10.0,0.009049637154696553,58.411066322
2.0,0.1,10.0,0.02165720138507306,58.59611547
2.0,0.1,10.0,0.008675432827003593,58.516070273
5.0,0.1,10.0,0.028644449880068243,57.518057737
5.0,0.1,10.0,0.030270362892474416,57.379387991
5.0,0.1,10.0,0.026503586361630735,57.571427617
5.0,0.1,10.0,0.026479441136468534,57.442060454
5.0,0.1,10.0,0.03214736540017122,57.675263048
10.0,0.1,10.0,0.0021893464537570484,57.627275475
10.0,0.1,10.0,0.006008160975024387,57.748757655
10.0,0.1,10.0,0.023959831577389044,57.749211736
10.0,0.1,10.0,0.004199280454372454,57.786815192
10.0,0.1,10.0,0.010885912716541213,57.869016358
1.0,0.2,10.0,0.010681329770362617,57.524687192
1.0,0.2,10.0,0.013919789494433473,57.778957362
1.0,0.2,10.0,0.00282239470364103,57.778286419
1.0,0.2,10.0,0.0014891719211311146,57.605757488
1.0,0.2,10.0,0.002540985951099353,57.888338709
2.0,0.2,10.0,0.011721204175471747,59.375246927
2.0,0.2,10.0,0.009414028645934882,59.534510405
2.0,0.2,10.0,0.01359233773812171,59.495431994
2.0,0.2,10.0,0.009643301335567333,59.581268823
2.0,0.2,10.0,0.008328174676595008,59.5695471
5.0,0.2,10.0,0.05026661035173364,58.366272853
5.0,0.2,10.0,0.032591066413302144,58.418054739
5.0,0.2,10.0,0.02627624725296225,58.301520671
5.0,0.2,10.0,0.04067938398400779,58.556465027
5.0,0.2,10.0,0.03907964894550823,58.511863718
10.0,0.2,10.0,0.020570499088532663,58.541067811
10.0,0.2,10.0,0.005818013130811102,58.494012332
10.0,0.2,10.0,0.010074593318620555,58.50838101
10.0,0.2,10.0,0.011473636273957814,58.436153487
10.0,0.2,10.0,0.014485186674352946,58.586885533
1.0,0.5,10.0,0.009194593643324513,58.470653982
1.0,0.5,10.0,0.004752827225499156,58.471800544
1.0,0.5,10.0,0.008986288024818495,58.563750595
1.0,0.5,10.0,0.00906606904590341,58.574964825
1.0,0.5,10.0,0.01201643030390482,58.573194444
2.0,0.5,10.0,0.016557224623281467,60.351347327
2.0,0.5,10.0,0.014837987367524105,61.638056103
2.0,0.5,10.0,0.011348346801088618,63.615631477
2.0,0.5,10.0,0.0243773164006938,62.020505587
2.0,0.5,10.0,0.015524353362223603,61.987929891
5.0,0.5,10.0,0.056282337171064054,60.617671457
5.0,0.5,10.0,0.06592755363826111,60.511529796
5.0,0.5,10.0,0.0469904179136814,61.701070654
5.0,0.5,10.0,0.07115237801301563,61.077805972
5.0,0.5,10.0,0.04204900658573396,61.836722959
10.0,0.5,10.0,0.01745342583748926,60.77778101
10.0,0.5,10.0,0.010439115727045164,63.825833026
10.0,0.5,10.0,0.05719298796688632,62.710321805
10.0,0.5,10.0,0.12180920224798536,60.795525099
10.0,0.5,10.0,0.017679101869992848,60.622277421
