d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.7536951837648798,767.804918209,1.758206593371606
1.0,0.2,10.0,1.757403320194182,749.380959549,1.758206593371606
1.0,0.2,10.0,1.7508410822449985,729.592861069,1.758206593371606
1.0,0.2,10.0,1.75458608291489,721.381688752,1.758206593371606
1.0,0.2,10.0,1.7504358083416918,698.275331225,1.758206593371606
1.0,0.5,10.0,1.717949528929843,677.671298343,1.722275707108827
1.0,0.5,10.0,1.710662560287158,666.414066247,1.722275707108827
1.0,0.5,10.0,1.700743672357941,653.462215468,1.722275707108827
1.0,0.5,10.0,1.7257126645522676,642.844023445,1.722275707108827
1.0,0.5,10.0,1.7199683445405998,627.584995571,1.722275707108827
1.0,1.0,10.0,1.6565648946232856,614.062834766,1.66922524144644
1.0,1.0,10.0,1.6614030659897292,604.10584179,1.66922524144644
1.0,1.0,10.0,1.6613186757339127,597.892912207,1.66922524144644
1.0,1.0,10.0,1.6635708920542216,589.895260968,1.66922524144644
1.0,1.0,10.0,1.6509647021473548,579.443328179,1.66922524144644
2.0,0.2,10.0,3.104227983949931,587.51519237,3.0912904249753876
2.0,0.2,10.0,3.084592962215848,577.547815539,3.0912904249753876
2.0,0.2,10.0,3.052399516894283,567.194302902,3.0912904249753876
2.0,0.2,10.0,3.0759047240915933,559.523302655,3.0912904249753876
2.0,0.2,10.0,3.058974717396448,556.360064235,3.0912904249753876
2.0,0.5,10.0,2.9052954936227864,552.121763146,2.96623361129721
2.0,0.5,10.0,2.9327324858490083,547.481751764,2.96623361129721
2.0,0.5,10.0,2.9364409968551732,541.615839071,2.96623361129721
2.0,0.5,10.0,2.8901256238052215,540.178831716,2.96623361129721
2.0,0.5,10.0,2.931913143990602,531.668727027,2.96623361129721
2.0,1.0,10.0,2.732774169584259,527.471063241,2.7863129066819248
2.0,1.0,10.0,2.774298107342622,524.888351498,2.7863129066819248
2.0,1.0,10.0,2.7083140899026574,516.662952205,2.7863129066819248
2.0,1.0,10.0,2.81120681535965,516.442538488,2.7863129066819248
2.0,1.0,10.0,2.702668908464598,510.519339946,2.7863129066819248
5.0,0.2,10.0,15.697556428696334,526.957470021,16.801556694196968
5.0,0.2,10.0,16.08041210219542,522.521934532,16.801556694196968
5.0,0.2,10.0,15.989742764167552,519.17972406,16.801556694196968
5.0,0.2,10.0,15.590989061109065,515.992617885,16.801556694196968
5.0,0.2,10.0,15.796355596818488,516.831647789,16.801556694196968
5.0,0.5,10.0,14.25791506198112,510.793534514,15.153514863482872
5.0,0.5,10.0,13.915521224950549,508.474744019,15.153514863482872
5.0,0.5,10.0,14.177455423430589,514.323936835,15.153514863482872
5.0,0.5,10.0,14.423964342182899,510.263876124,15.153514863482872
5.0,0.5,10.0,14.55324634174315,509.253956645,15.153514863482872
5.0,1.0,10.0,11.758689246215521,506.682889976,12.959096286561797
5.0,1.0,10.0,11.812379635074437,504.660587083,12.959096286561797
5.0,1.0,10.0,11.845212679868606,502.6088683,12.959096286561797
5.0,1.0,10.0,11.330120213602319,496.703419964,12.959096286561797
5.0,1.0,10.0,11.302260161385384,494.063236094,12.959096286561797
10.0,0.2,10.0,110.45958926449858,542.667208383,282.29230734831486
10.0,0.2,10.0,111.76185544427967,536.31436792,282.29230734831486
10.0,0.2,10.0,112.66447061657591,529.552966778,282.29230734831486
10.0,0.2,10.0,112.83258334451372,527.19712098,282.29230734831486
10.0,0.2,10.0,116.27013669248637,527.855004462,282.29230734831486
10.0,0.5,10.0,91.92439660472584,522.87295395,229.62901271779626
10.0,0.5,10.0,88.02196356907847,525.691553927,229.62901271779626
10.0,0.5,10.0,88.31818390912349,522.738993609,229.62901271779626
10.0,0.5,10.0,81.65455777943954,522.143176404,229.62901271779626
10.0,0.5,10.0,84.69438965931738,526.01337874,229.62901271779626
10.0,1.0,10.0,56.538222649625396,522.213142842,167.93817656437977
10.0,1.0,10.0,58.09930579463541,519.84522596,167.93817656437977
10.0,1.0,10.0,61.67163871404447,520.911996289,167.93817656437977
10.0,1.0,10.0,59.55881184631552,515.0794256,167.93817656437977
10.0,1.0,10.0,64.04819843086794,513.280358801,167.93817656437977
