d,T,K,u,time_simu
1.0,0.2,10.0,0.9996004692433338,0.466596085
1.0,0.2,10.0,0.9995818076908857,0.007525654
1.0,0.2,10.0,0.9996049186072885,0.008416321
1.0,0.2,10.0,0.9995856594899203,0.008232612
1.0,0.2,10.0,0.999570587153316,0.007752354
1.0,0.5,10.0,0.9992246370641327,0.007437366
1.0,0.5,10.0,0.9993022083023141,0.007434396
1.0,0.5,10.0,0.9992288780753573,0.007349887
1.0,0.5,10.0,0.999195579827387,0.008041323
1.0,0.5,10.0,0.9992296201307324,0.008304652
1.0,1.0,10.0,0.9990141618440618,0.008231253
1.0,1.0,10.0,0.9987987786436677,0.008272442
1.0,1.0,10.0,0.9993482197106398,0.007684005
1.0,1.0,10.0,0.998676861697933,0.011139399
1.0,1.0,10.0,0.9987164383164854,0.007448296
2.0,0.2,10.0,0.9991892988655704,0.009884035
2.0,0.2,10.0,0.999163059142485,0.00878034
2.0,0.2,10.0,0.9992176238333063,0.014757193
2.0,0.2,10.0,0.999164506613492,0.008295262
2.0,0.2,10.0,0.9991642277739596,0.009984974
2.0,0.5,10.0,0.9987028304040042,0.008489041
2.0,0.5,10.0,0.9983564603945805,0.008639671
2.0,0.5,10.0,0.9986661081707504,0.009187619
2.0,0.5,10.0,0.9986025309243654,0.009193428
2.0,0.5,10.0,0.9986678780200234,0.008115794
2.0,1.0,10.0,0.9985910548391773,0.008363873
2.0,1.0,10.0,0.9989750661854961,0.008434807
2.0,1.0,10.0,0.99672884406786,0.009146116
2.0,1.0,10.0,0.999070569156685,0.008435173
2.0,1.0,10.0,0.9982573537877986,0.010839687
5.0,0.2,10.0,0.9979673292301298,0.010333879
5.0,0.2,10.0,0.9978905742877285,0.010275503
5.0,0.2,10.0,0.9979523417302802,0.010221777
5.0,0.2,10.0,0.9979426183506247,0.011095142
5.0,0.2,10.0,0.9979845205740494,0.009957431
5.0,0.5,10.0,0.9964542092145338,0.010327177
5.0,0.5,10.0,0.9963384337718015,0.009855557
5.0,0.5,10.0,0.9961827257036845,0.010223565
5.0,0.5,10.0,0.996437754727873,0.010121384
5.0,0.5,10.0,0.9963589740499117,0.009162955
5.0,1.0,10.0,0.993861877956274,0.009212913
5.0,1.0,10.0,0.9957621406447287,0.009852052
5.0,1.0,10.0,0.9950229789571223,0.009552051
5.0,1.0,10.0,0.9977031206770893,0.010174579
5.0,1.0,10.0,0.9955616052027267,0.01297523
10.0,0.2,10.0,0.9958918544351154,0.014844352
10.0,0.2,10.0,0.9960014651977949,0.012076427
10.0,0.2,10.0,0.9958797521506888,0.0143589
10.0,0.2,10.0,0.9958722670687467,0.010969335
10.0,0.2,10.0,0.9959396733686521,0.013230827
10.0,0.5,10.0,0.992299567930625,0.013273079
10.0,0.5,10.0,0.9924985328385115,0.013031671
10.0,0.5,10.0,0.9927491998578684,0.015039384
10.0,0.5,10.0,0.9922499866761528,0.014841096
10.0,0.5,10.0,0.992614756560693,0.014843946
10.0,1.0,10.0,0.9890691485162221,0.014894056
10.0,1.0,10.0,0.9876537382101822,0.012734725
10.0,1.0,10.0,0.987245142122281,0.013752632
10.0,1.0,10.0,0.9908152122645489,0.013807201
10.0,1.0,10.0,0.9919787222266582,0.013105033
