d,T,K,u,time_simu
1.0,0.2,10.0,1.1480646930181024,19.859452685
1.0,0.2,10.0,1.1482120681046541,19.256267078
1.0,0.2,10.0,1.1480689774624464,19.822563682
1.0,0.2,10.0,1.1482088437813611,18.288545606
1.0,0.2,10.0,1.1484090755037402,18.284897122
1.0,0.5,10.0,1.3845494610895572,19.151186722
1.0,0.5,10.0,1.386160982548051,18.967915603
1.0,0.5,10.0,1.3831721386218487,19.136001716
1.0,0.5,10.0,1.3869193383844844,20.098140043
1.0,0.5,10.0,1.3853520273491193,18.663671446
1.0,1.0,10.0,1.7821431038398525,18.445401641
1.0,1.0,10.0,1.7765616998637048,19.482111352
1.0,1.0,10.0,1.7869178629160143,16.983846842
1.0,1.0,10.0,1.784940533424709,20.171544057
1.0,1.0,10.0,1.781294064999525,18.134129908
2.0,0.2,10.0,1.1722941815364931,22.370301514
2.0,0.2,10.0,1.173020727650606,24.012296053
2.0,0.2,10.0,1.1723193067152429,21.872294186
2.0,0.2,10.0,1.1712587981412867,23.822979211
2.0,0.2,10.0,1.1724995800864122,24.458198528
2.0,0.5,10.0,1.4528606601344145,24.398691683
2.0,0.5,10.0,1.4522763862117505,23.744356741
2.0,0.5,10.0,1.45437331047354,24.189385255
2.0,0.5,10.0,1.453398810479513,21.704358103
2.0,0.5,10.0,1.4521920733233937,23.341674455
2.0,1.0,10.0,1.9262104870642323,22.099953549
2.0,1.0,10.0,1.9323822101257457,24.486270662
2.0,1.0,10.0,1.925870439064411,24.555616004
2.0,1.0,10.0,1.929022723642067,23.855628919
2.0,1.0,10.0,1.9235480673995382,24.139291428
5.0,0.2,10.0,1.1744397046683672,52.096344109
5.0,0.2,10.0,1.1741617526319987,54.74963741
5.0,0.2,10.0,1.1742900661785702,53.749957712
5.0,0.2,10.0,1.1742241917782108,51.474926301
5.0,0.2,10.0,1.1742397079751565,54.166271621
5.0,0.5,10.0,1.4590427223505826,53.891610214
5.0,0.5,10.0,1.4561271488763425,53.580304685
5.0,0.5,10.0,1.4605594627679828,53.480292043
5.0,0.5,10.0,1.4568940212926693,50.861575542
5.0,0.5,10.0,1.4587268530487223,56.030365828
5.0,1.0,10.0,1.9438745042296819,51.023036397
5.0,1.0,10.0,1.9472471246525993,49.860432032
5.0,1.0,10.0,1.9450531910899072,50.408455201
5.0,1.0,10.0,1.94865134025308,51.077093916
5.0,1.0,10.0,1.9380266863586804,52.777802797
10.0,0.2,10.0,1.172247150563157,75.696288151
10.0,0.2,10.0,1.171053796458049,74.862466951
10.0,0.2,10.0,1.1713221324440324,76.345153277
10.0,0.2,10.0,1.172185260846457,74.901952272
10.0,0.2,10.0,1.1719208583114427,76.509116291
10.0,0.5,10.0,1.450731882630819,74.071611762
10.0,0.5,10.0,1.4515740536421995,76.401577411
10.0,0.5,10.0,1.4535430241822453,74.562641473
10.0,0.5,10.0,1.4549714921895724,74.788108209
10.0,0.5,10.0,1.4502583016635004,74.444704284
10.0,1.0,10.0,1.9227100582603307,72.526002618
10.0,1.0,10.0,1.9362118816084304,71.92289649
10.0,1.0,10.0,1.931338545845986,71.395057754
10.0,1.0,10.0,1.9248291756327394,75.872316321
10.0,1.0,10.0,1.9292581467691758,74.320713507
