d,T,K,u,time_simu
1.0,0.2,10.0,0.9932051388549111,116.023840631
1.0,0.2,10.0,0.9933680041168889,117.496600508
1.0,0.2,10.0,0.993178155755358,115.529933204
1.0,0.2,10.0,0.9931070582416345,114.276866945
1.0,0.2,10.0,0.9930209419189201,115.899607579
1.0,0.5,10.0,0.9880464053486633,114.13679691
1.0,0.5,10.0,0.9869347565795737,105.756889643
1.0,0.5,10.0,0.9867065308574138,114.040346625
1.0,0.5,10.0,0.9856794350586005,114.220562365
1.0,0.5,10.0,0.9868572722281775,115.058106603
1.0,1.0,10.0,0.9786006473322189,103.798209795
1.0,1.0,10.0,0.9962797674490689,113.63022455
1.0,1.0,10.0,0.9890673913401758,112.125068768
1.0,1.0,10.0,0.9860923794014108,105.310376102
1.0,1.0,10.0,0.9693218378870473,113.930824758
2.0,0.2,10.0,0.9868648838364796,128.085390184
2.0,0.2,10.0,0.9868002543006906,126.689732468
2.0,0.2,10.0,0.9872628012617415,135.482403343
2.0,0.2,10.0,0.9869867999964361,139.485334551
2.0,0.2,10.0,0.9871747397610916,135.964920825
2.0,0.5,10.0,0.975622048302148,138.186449668
2.0,0.5,10.0,0.9795634593732534,136.10830247
2.0,0.5,10.0,0.9708815557563941,135.953298188
2.0,0.5,10.0,0.9776803040043786,124.831887785
2.0,0.5,10.0,0.9751141002624234,125.947308617
2.0,1.0,10.0,0.9769854582065235,138.352269996
2.0,1.0,10.0,0.9806417573969362,135.804075323
2.0,1.0,10.0,0.9920773375369368,132.564300732
2.0,1.0,10.0,0.9577913968239733,136.456607897
2.0,1.0,10.0,0.9703643327830554,135.043589341
5.0,0.2,10.0,0.9705006318158066,150.545968599
5.0,0.2,10.0,0.9707026084500328,159.734497576
5.0,0.2,10.0,0.9709985833380574,164.113181721
5.0,0.2,10.0,0.9706421066341563,153.086484454
5.0,0.2,10.0,0.9701106482237352,155.461396366
5.0,0.5,10.0,0.9468316805052667,161.787951077
5.0,0.5,10.0,0.9454524197707428,161.314461134
5.0,0.5,10.0,0.9405081425512901,161.242491104
5.0,0.5,10.0,0.9372082853336174,154.065933898
5.0,0.5,10.0,0.9421297037559248,156.427222775
5.0,1.0,10.0,0.9315337325829275,164.029366342
5.0,1.0,10.0,0.935824856947645,166.231675139
5.0,1.0,10.0,0.9136699447065699,160.287971628
5.0,1.0,10.0,0.9320884279660946,152.246415881
5.0,1.0,10.0,0.9768508882339453,169.838174291
10.0,0.2,10.0,0.9512439619643769,244.696199673
10.0,0.2,10.0,0.9509885156075476,241.680261172
10.0,0.2,10.0,0.9508489937374548,234.74478128
10.0,0.2,10.0,0.9521549288126523,241.976940509
10.0,0.2,10.0,0.952013272666605,241.46030065
10.0,0.5,10.0,0.9103243514056425,227.135983511
10.0,0.5,10.0,0.905421555320797,243.118739457
10.0,0.5,10.0,0.9082130699297865,236.818905657
10.0,0.5,10.0,0.9029060213465544,225.331831238
10.0,0.5,10.0,0.9090273859812308,243.14030174
10.0,1.0,10.0,0.8239826534035062,246.662869302
10.0,1.0,10.0,0.8485577822646163,234.00976207
10.0,1.0,10.0,0.8404185835113285,227.897303243
10.0,1.0,10.0,0.8628177724777113,245.707418782
10.0,1.0,10.0,0.8687273648990863,222.583159727
