d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9997316598892212,32.980770844,
1.0,0.2,10.0,0.999633252620697,32.285540288,
1.0,0.2,10.0,0.9995747208595276,32.407149104,
1.0,0.2,10.0,0.9997485876083374,31.525293482,
1.0,0.2,10.0,0.9995163083076477,31.020399019,
2.0,0.2,10.0,0.9990929961204529,31.018246407,
2.0,0.2,10.0,0.9989102482795715,31.485482694,
2.0,0.2,10.0,0.998998761177063,30.959171843,
2.0,0.2,10.0,0.9988118410110474,31.219865337,
2.0,0.2,10.0,0.9989466071128845,31.192184457,
5.0,0.2,10.0,0.9977089166641235,35.217947131,
5.0,0.2,10.0,0.9979504346847534,35.895938947,
5.0,0.2,10.0,0.9974938631057739,35.577410202,
5.0,0.2,10.0,0.9977922439575195,35.093785261,
5.0,0.2,10.0,0.9979842305183411,34.890806168,
10.0,0.2,10.0,0.9962472319602966,35.613520254,
10.0,0.2,10.0,0.9958527088165283,35.878391816,
10.0,0.2,10.0,0.9955780506134033,34.927051431,
10.0,0.2,10.0,0.9959574341773987,35.014351993,
10.0,0.2,10.0,0.9961900115013123,34.870331355,
1.0,0.5,10.0,0.9993647336959839,30.613583177,
1.0,0.5,10.0,0.9993550777435303,30.587878844,
1.0,0.5,10.0,0.9992600679397583,31.278974871,
1.0,0.5,10.0,0.9995775818824768,30.868136796,
1.0,0.5,10.0,0.9993323087692261,31.192973469,
2.0,0.5,10.0,0.9983617663383484,31.287485069,
2.0,0.5,10.0,0.9984637498855591,30.56511087,
2.0,0.5,10.0,0.9983739256858826,31.094318219,
2.0,0.5,10.0,0.9984096884727478,30.83380579,
2.0,0.5,10.0,0.9983518719673157,31.241268882,
5.0,0.5,10.0,0.9961910843849182,34.5997758,
5.0,0.5,10.0,0.9958029985427856,35.972926278,
5.0,0.5,10.0,0.9955246448516846,34.866209834,
5.0,0.5,10.0,0.9956081509590149,35.789283708,
5.0,0.5,10.0,0.9969825744628906,34.886787769,
10.0,0.5,10.0,0.9986262321472168,36.351750535,
