d,T,K,u,time_simu
1.0,0.2,10.0,0.9996050113414103,0.015220173
1.0,0.2,10.0,0.9995815042129507,0.015956122
1.0,0.2,10.0,0.9996122574846122,0.018528014
1.0,0.2,10.0,0.9996015891492185,0.017652456
1.0,0.2,10.0,0.9995873579063627,0.016210471
2.0,0.2,10.0,0.9992363018700406,0.016220451
2.0,0.2,10.0,0.9991639341485982,0.016443969
2.0,0.2,10.0,0.999163354551431,0.015095164
2.0,0.2,10.0,0.9991783131223426,0.018842773
2.0,0.2,10.0,0.9991942282068709,0.017182527
5.0,0.2,10.0,0.9978876331003159,0.017157788
5.0,0.2,10.0,0.997969784762764,0.01684742
5.0,0.2,10.0,0.9979262651805546,0.018635603
5.0,0.2,10.0,0.9979692925302148,0.017691147
5.0,0.2,10.0,0.9979371763987496,0.015881153
10.0,0.2,10.0,0.9958915140337894,0.021120666
10.0,0.2,10.0,0.9958497027231085,0.017415199
10.0,0.2,10.0,0.9959222419004862,0.019058263
10.0,0.2,10.0,0.9959107150210891,0.019690163
10.0,0.2,10.0,0.9958512217481298,0.018391907
1.0,0.5,10.0,0.9992982486438444,0.014214771
1.0,0.5,10.0,0.9992277580903368,0.015237718
1.0,0.5,10.0,0.9994080516347789,0.015500547
1.0,0.5,10.0,0.9993349665784188,0.014263572
1.0,0.5,10.0,0.9991587694665608,0.015230849
2.0,0.5,10.0,0.9985062212133642,0.015649248
2.0,0.5,10.0,0.998314905654658,0.019174646
2.0,0.5,10.0,0.9984605270256164,0.017037514
2.0,0.5,10.0,0.9986868218669935,0.014116733
2.0,0.5,10.0,0.9984279660415049,0.016568726
5.0,0.5,10.0,0.9962528183036548,0.017511442
5.0,0.5,10.0,0.996362428128871,0.019472037
5.0,0.5,10.0,0.9965258021334533,0.015973158
5.0,0.5,10.0,0.9960156306851956,0.022763426
5.0,0.5,10.0,0.996222339341359,0.018801019
10.0,0.5,10.0,0.9920765954133447,0.019604177
10.0,0.5,10.0,0.9924280359127177,0.018499061
10.0,0.5,10.0,0.9920851373024638,0.294362809
10.0,0.5,10.0,0.9924179160289323,0.020230446
10.0,0.5,10.0,0.9921157762858809,0.017764713
1.0,1.0,10.0,0.9985497524677373,0.014258185
1.0,1.0,10.0,0.9996634011628937,0.018767061
1.0,1.0,10.0,0.9988131728868486,0.018116432
1.0,1.0,10.0,0.9990705364143436,0.013686127
1.0,1.0,10.0,0.9993256860309129,0.016928396
2.0,1.0,10.0,0.9982596910189683,0.016739897
2.0,1.0,10.0,0.997657553281148,0.016176029
2.0,1.0,10.0,0.9982354831943289,0.0159512
2.0,1.0,10.0,0.997797768391419,0.015743311
2.0,1.0,10.0,0.9973560711463909,0.015173072
5.0,1.0,10.0,0.9942696262144356,0.015683041
5.0,1.0,10.0,0.996255505568313,0.016830897
5.0,1.0,10.0,0.9952267115753751,0.017123206
5.0,1.0,10.0,0.9944974914470015,0.015925901
5.0,1.0,10.0,0.9943539578795992,0.016299309
10.0,1.0,10.0,0.9903926954908551,0.017840843
10.0,1.0,10.0,0.9904170525303866,0.019933437
10.0,1.0,10.0,0.9929895483599543,0.021874552
10.0,1.0,10.0,0.9881311756944956,0.022916718
10.0,1.0,10.0,0.9900987553214764,0.01943835
1.0,0.2,10.0,0.9995819529616353,0.014355086
1.0,0.2,10.0,0.9995631871200271,0.014135936
1.0,0.2,10.0,0.9995884129231787,0.015230573
1.0,0.2,10.0,0.9996205349169802,0.014995113
1.0,0.2,10.0,0.9995702594035414,0.019465329
2.0,0.2,10.0,0.9991779458439471,0.017057127
2.0,0.2,10.0,0.9992268762536504,0.017444957
2.0,0.2,10.0,0.9991778898149419,0.016947377
2.0,0.2,10.0,0.9991979267329612,0.015837131
2.0,0.2,10.0,0.9991785622855434,0.016511479
5.0,0.2,10.0,0.9979555602057313,0.015596931
5.0,0.2,10.0,0.9979584538777606,0.017182626
5.0,0.2,10.0,0.9979868341372553,0.018462333
5.0,0.2,10.0,0.9979767171498417,0.01626513
5.0,0.2,10.0,0.9979748905817408,0.016262345
10.0,0.2,10.0,0.9959123199222255,0.021659872
10.0,0.2,10.0,0.9958899691457118,0.019631473
10.0,0.2,10.0,0.9959859694806059,0.019036237
10.0,0.2,10.0,0.9958862585697287,0.02308318
10.0,0.2,10.0,0.9960000810956099,0.020761682
1.0,0.5,10.0,0.9992667209600234,0.018161404
1.0,0.5,10.0,0.9992182800788411,0.016415553
1.0,0.5,10.0,0.9992034527598503,0.012597259
1.0,0.5,10.0,0.9993890831803283,0.016662583
1.0,0.5,10.0,0.9991758386585463,0.016313315
2.0,0.5,10.0,0.9985573982358621,0.015142831
2.0,0.5,10.0,0.9985388446987659,0.01530157
2.0,0.5,10.0,0.9985863697565484,0.016533727
2.0,0.5,10.0,0.9985079637179761,0.015090813
2.0,0.5,10.0,0.9985408925184379,0.020738611
5.0,0.5,10.0,0.9961932329611731,0.017168546
5.0,0.5,10.0,0.9964576381184108,0.016082651
5.0,0.5,10.0,0.9961893636376848,0.017976323
5.0,0.5,10.0,0.9961846886346551,0.017460916
5.0,0.5,10.0,0.9961097145635209,0.017580706
10.0,0.5,10.0,0.992438347423936,0.020932455
10.0,0.5,10.0,0.9926072959126739,0.021945451
10.0,0.5,10.0,0.9922806324500676,0.023396727
10.0,0.5,10.0,0.992200974051723,0.020897137
10.0,0.5,10.0,0.9923837860122203,0.01973896
1.0,1.0,10.0,0.999213841204954,0.016639661
1.0,1.0,10.0,0.9997489146940192,0.015588716
1.0,1.0,10.0,0.9990988452190414,0.01423576
1.0,1.0,10.0,0.999480824376122,0.016326873
1.0,1.0,10.0,0.9993315884846661,0.016580202
2.0,1.0,10.0,0.997441091618713,0.016338783
2.0,1.0,10.0,0.9977663284872353,0.015831106
2.0,1.0,10.0,0.9972623395406418,0.016315764
2.0,1.0,10.0,0.9981353252292458,0.018584076
2.0,1.0,10.0,0.9983535804891424,0.016216144
5.0,1.0,10.0,0.9956624250775705,0.020067972
5.0,1.0,10.0,0.9958861253754452,0.01770673
5.0,1.0,10.0,0.9956946843778434,0.016320405
5.0,1.0,10.0,0.9955970456361086,0.017507072
5.0,1.0,10.0,0.9954822769264784,0.016833793
10.0,1.0,10.0,0.9915865291272442,0.019397905
10.0,1.0,10.0,0.9908032846291244,0.02098671
10.0,1.0,10.0,0.9899056105215035,0.019307956
10.0,1.0,10.0,0.9913983393592215,0.018929506
10.0,1.0,10.0,0.989512953104657,0.026763611
