d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.1735817193984985,31.932028278,
1.0,0.2,10.0,1.1735761165618896,32.956458826,
1.0,0.2,10.0,1.1735752820968628,32.598006821,
1.0,0.2,10.0,1.173616647720337,33.097501056,
1.0,0.2,10.0,1.1736047267913818,32.594250246,
2.0,0.2,10.0,1.2096439599990845,32.988587449,
2.0,0.2,10.0,1.2095998525619507,32.776977365,
2.0,0.2,10.0,1.209584355354309,32.062924732,
2.0,0.2,10.0,1.209635853767395,31.300395901,
2.0,0.2,10.0,1.2096751928329468,30.855851416,
5.0,0.2,10.0,1.2159799337387085,30.154215802,
5.0,0.2,10.0,1.215844988822937,30.463466781,
5.0,0.2,10.0,1.2159514427185059,30.523538938,
5.0,0.2,10.0,1.2159380912780762,29.844156109,
5.0,0.2,10.0,1.215846061706543,30.518627374,
10.0,0.2,10.0,1.2130759954452515,30.264218248,
10.0,0.2,10.0,1.2128046751022339,30.322737692,
10.0,0.2,10.0,1.2129937410354614,32.393970441,
10.0,0.2,10.0,1.2128286361694336,30.193939873,
10.0,0.2,10.0,1.2129709720611572,31.14191614,
1.0,0.5,10.0,1.4695243835449219,26.400818275,
1.0,0.5,10.0,1.469501256942749,27.776544693,
1.0,0.5,10.0,1.469509243965149,25.66811582,
1.0,0.5,10.0,1.469552993774414,25.690998454,
1.0,0.5,10.0,1.4695090055465698,25.985418439,
2.0,0.5,10.0,1.5948811769485474,27.143396735,
2.0,0.5,10.0,1.5950208902359009,26.064400532,
2.0,0.5,10.0,1.59474778175354,27.197938698,
2.0,0.5,10.0,1.5946755409240723,30.358604247,
2.0,0.5,10.0,1.5949763059616089,25.182654411,
5.0,0.5,10.0,1.61838698387146,25.243943386,
5.0,0.5,10.0,1.6185601949691772,26.523668356,
5.0,0.5,10.0,1.6186920404434204,25.848509751,
5.0,0.5,10.0,1.6185580492019653,24.815956846,
5.0,0.5,10.0,1.6187715530395508,24.588922164,
10.0,0.5,10.0,1.608931303024292,27.044418415,
10.0,0.5,10.0,1.6087543964385986,25.584909115,
10.0,0.5,10.0,1.6094608306884766,25.334754712,
10.0,0.5,10.0,1.6085684299468994,26.692733628,
10.0,0.5,10.0,1.6086996793746948,25.080578255,
1.0,1.0,10.0,2.0494658946990967,26.981322798,
1.0,1.0,10.0,2.0491836071014404,23.314455993,
1.0,1.0,10.0,2.0493340492248535,23.275891315,
1.0,1.0,10.0,2.049485206604004,23.196583482,
1.0,1.0,10.0,2.049520492553711,24.161681543,
2.0,1.0,10.0,2.468273639678955,24.773703235,
2.0,1.0,10.0,2.467815399169922,23.656390667,
2.0,1.0,10.0,2.468519926071167,23.49003529,
2.0,1.0,10.0,2.4677412509918213,22.94521064,
2.0,1.0,10.0,2.4692459106445312,23.88935675,
5.0,1.0,10.0,2.561466693878174,22.872095662,
5.0,1.0,10.0,2.5609633922576904,23.793439598,
5.0,1.0,10.0,2.560601234436035,23.33454337,
5.0,1.0,10.0,2.5600695610046387,23.100334913,
5.0,1.0,10.0,2.560580015182495,22.56257652,
10.0,1.0,10.0,2.532426118850708,25.34060133,
10.0,1.0,10.0,2.5308728218078613,23.291934146,
10.0,1.0,10.0,2.5300769805908203,23.116747432,
10.0,1.0,10.0,2.5282905101776123,23.731252148,
10.0,1.0,10.0,2.527768135070801,23.308834955,
1.0,0.2,10.0,1.1735717058181763,21.976215281,
1.0,0.2,10.0,1.173614501953125,22.23739846,
1.0,0.2,10.0,1.173606276512146,21.692702809,
1.0,0.2,10.0,1.1736197471618652,21.296959278,
1.0,0.2,10.0,1.1735752820968628,21.357515866,
2.0,0.2,10.0,1.2096271514892578,22.182095326,
2.0,0.2,10.0,1.2096452713012695,22.020583495,
2.0,0.2,10.0,1.209585189819336,23.19641198,
2.0,0.2,10.0,1.2096538543701172,23.27511859,
2.0,0.2,10.0,1.2096410989761353,21.913999071,
5.0,0.2,10.0,1.215912103652954,22.63731579,
5.0,0.2,10.0,1.2158358097076416,22.58934695,
5.0,0.2,10.0,1.2159065008163452,23.166867718,
5.0,0.2,10.0,1.215955376625061,23.825145769,
5.0,0.2,10.0,1.2159091234207153,22.895301533,
10.0,0.2,10.0,1.2129011154174805,23.024527695,
10.0,0.2,10.0,1.212884545326233,23.414475281,
10.0,0.2,10.0,1.2128212451934814,23.172237091,
10.0,0.2,10.0,1.212838053703308,22.871463174,
10.0,0.2,10.0,1.2128880023956299,23.193908595,
