d,T,K,u,time_simu
1.0,0.2,10.0,1.174366348807419,21.645177866
1.0,0.2,10.0,1.17466159421474,20.503309765
1.0,0.2,10.0,1.1751422347986007,21.42099213
1.0,0.2,10.0,1.1754500390176017,20.577935987
1.0,0.2,10.0,1.174419176832991,21.273974085
2.0,0.2,10.0,1.2120493834484962,24.068191079
2.0,0.2,10.0,1.2115380524959285,22.721473867
2.0,0.2,10.0,1.2136156370973235,24.261235963
2.0,0.2,10.0,1.2106720811533649,24.144501833
2.0,0.2,10.0,1.2128542977898322,24.136923146
5.0,0.2,10.0,1.216780710584625,53.978962806
5.0,0.2,10.0,1.2180858919899122,53.478433117
5.0,0.2,10.0,1.2199016148684307,52.772322937
5.0,0.2,10.0,1.2183709723170373,55.86513631
5.0,0.2,10.0,1.217763186444422,53.420191068
10.0,0.2,10.0,1.2145543980630793,73.85666675
10.0,0.2,10.0,1.2144531383732347,72.794344047
10.0,0.2,10.0,1.214550500294638,72.783763816
10.0,0.2,10.0,1.2165319715714635,74.365917093
10.0,0.2,10.0,1.214647339456238,76.092669976
1.0,0.5,10.0,1.4757395693153423,20.662637126
1.0,0.5,10.0,1.4783186591885031,19.531391437
1.0,0.5,10.0,1.4714485827480703,19.63189522
1.0,0.5,10.0,1.4770550450436366,19.823018759
1.0,0.5,10.0,1.477414306401161,20.593016483
2.0,0.5,10.0,1.6213293494027594,23.781828585
2.0,0.5,10.0,1.6216059193051053,24.90705918
2.0,0.5,10.0,1.605235489834799,24.361428148
2.0,0.5,10.0,1.6170670994647782,25.494661928
2.0,0.5,10.0,1.6121633171519045,25.830479592
5.0,0.5,10.0,1.6484668862290075,52.718768365
5.0,0.5,10.0,1.642859472252321,52.022482583
5.0,0.5,10.0,1.6380696827857002,54.175722565
5.0,0.5,10.0,1.6389385675792931,54.54933803
5.0,0.5,10.0,1.6506434172036806,53.81966537
10.0,0.5,10.0,1.6170082579638612,74.420586298
10.0,0.5,10.0,1.633326201318178,73.184686114
10.0,0.5,10.0,1.6166730407824446,71.528362182
10.0,0.5,10.0,1.6238034622872939,74.139063089
10.0,0.5,10.0,1.6363233498331136,75.251650664
1.0,1.0,10.0,2.088039852363145,21.044032127
1.0,1.0,10.0,2.084259141772736,19.734965228
1.0,1.0,10.0,2.0966213390927617,19.870150963
1.0,1.0,10.0,2.073592172258507,19.658511813
1.0,1.0,10.0,2.0662929895257953,18.98027082
2.0,1.0,10.0,2.5546026660443233,24.024965834
2.0,1.0,10.0,2.5376502282406483,25.536831357
2.0,1.0,10.0,2.5858428481809446,24.875852037
2.0,1.0,10.0,2.5599435921603555,24.332978946
2.0,1.0,10.0,2.6015756265332577,23.92603395
5.0,1.0,10.0,2.695808334842395,53.688588225
5.0,1.0,10.0,2.622525197093731,56.167777572
5.0,1.0,10.0,2.7315338632266726,54.981093408
5.0,1.0,10.0,2.6881129217790622,56.929456056
5.0,1.0,10.0,2.5729902341064568,53.3351826
10.0,1.0,10.0,2.6079709850892323,75.045860424
10.0,1.0,10.0,2.6232100858604,72.634885752
10.0,1.0,10.0,2.5885467352462137,74.937826896
10.0,1.0,10.0,2.592638127292033,72.463712289
10.0,1.0,10.0,2.669823892145194,75.761400988
1.0,0.2,10.0,1.1756799188893452,20.118747087
1.0,0.2,10.0,1.174880518776583,20.995538964
1.0,0.2,10.0,1.1752108937326537,19.64176749
1.0,0.2,10.0,1.1740261904914886,21.414303223
1.0,0.2,10.0,1.1744047051188715,20.687961581
2.0,0.2,10.0,1.2106456351573094,25.702677468
2.0,0.2,10.0,1.212027964521704,24.159999249
2.0,0.2,10.0,1.2107281215063097,24.113195947
2.0,0.2,10.0,1.2126314103011404,24.779079191
2.0,0.2,10.0,1.2110846423773804,26.455618921
5.0,0.2,10.0,1.2194510491138115,53.92222006
5.0,0.2,10.0,1.2191692267485381,55.27075031
5.0,0.2,10.0,1.2186960191262268,53.192734627
5.0,0.2,10.0,1.2183603716147515,55.239724259
5.0,0.2,10.0,1.2176484954249676,55.598686311
10.0,0.2,10.0,1.2156567811495307,71.998147752
10.0,0.2,10.0,1.2145918990206421,73.645058086
10.0,0.2,10.0,1.2152628361562445,76.742950937
10.0,0.2,10.0,1.2165754923817138,73.27276478
10.0,0.2,10.0,1.2148449686152811,76.000218212
1.0,0.5,10.0,1.4739487055493457,19.880510705
1.0,0.5,10.0,1.4744387910528078,21.298125311
1.0,0.5,10.0,1.4716938656251202,19.705125796
1.0,0.5,10.0,1.4780060487826234,20.052753019
1.0,0.5,10.0,1.479813055246093,19.977246745
2.0,0.5,10.0,1.6150230550491653,24.405587461
2.0,0.5,10.0,1.6162266271847376,25.874509847
2.0,0.5,10.0,1.6236682956680824,23.686400083
2.0,0.5,10.0,1.606655930042621,25.252412131
2.0,0.5,10.0,1.5947141288817281,26.672456317
5.0,0.5,10.0,1.642701966772012,52.984750708
5.0,0.5,10.0,1.647075519743106,52.787035097
5.0,0.5,10.0,1.632035703075172,53.505684816
5.0,0.5,10.0,1.6461343686010388,54.497775721
5.0,0.5,10.0,1.649008805374362,54.317091675
10.0,0.5,10.0,1.635785739736253,72.629860946
10.0,0.5,10.0,1.6349715577773731,73.912137415
10.0,0.5,10.0,1.633683221418302,73.203614607
10.0,0.5,10.0,1.6227993348492578,72.157252478
10.0,0.5,10.0,1.6345359969190745,76.338407212
1.0,1.0,10.0,2.0779347088343645,19.736211248
1.0,1.0,10.0,2.102927535259545,19.825045229
1.0,1.0,10.0,2.1014502100524557,19.958625963
1.0,1.0,10.0,2.0605879060108445,19.305496213
1.0,1.0,10.0,2.054913694464176,20.355123438
2.0,1.0,10.0,2.544442247978476,25.592588874
2.0,1.0,10.0,2.614170085729927,23.505867761
2.0,1.0,10.0,2.4903304874290955,25.378210091
2.0,1.0,10.0,2.6112429398339545,25.103387017
2.0,1.0,10.0,2.5653296715045304,23.920674808
5.0,1.0,10.0,2.6371409987962897,52.050635449
5.0,1.0,10.0,2.724678334980184,52.219243748
5.0,1.0,10.0,2.717279961931738,52.143028457
5.0,1.0,10.0,2.726435705544418,52.575538574
5.0,1.0,10.0,2.6833118932175983,52.727956101
10.0,1.0,10.0,2.6573055628714624,72.89290581
10.0,1.0,10.0,2.6460444967479506,74.602156291
10.0,1.0,10.0,2.629729348680006,72.362372363
10.0,1.0,10.0,2.670435215054556,72.700912125
10.0,1.0,10.0,2.6415122756655403,73.375230231
